stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,27.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27.8,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0.82,254.89,0.9,0,0,0,0,3.18,2.51,0,4.28,50.68,0,0,3.04,0,0.84
 24-34,0,0,0,66.49,2.01,0,24.42,0,1.18,0,37.23,0,0,2.32,0,0,1.36,0,0,46.39,1.93,0,14.05,675.99,0,1.04,0,0,0,3.28,0,0,0.9,155.95,0,0,9.71,0,0
 36-46,0,0,0,34.44,2.2,0,33.52,0,0,0.57,135.77,0,0,0,0,0,0,0,0,37.33,0,0,5.8,1022.99,0,0.84,0.6,0,0,0,0,0,0,171.19,0,0,0.75,0,2.23
 48-58,0,0,0,21.48,3.59,0,195.11,0.88,0,0.83,297.02,0,0.48,5.79,0,0.54,0,0,1.3,76.28,0.53,0,4.11,1245.31,0,0,0.7,0,0,5.78,0,0,0,180.88,0,2.05,8.47,0,9.5
 60-70,0,0,0,14.47,0,0,323.92,0,0,5.76,689.28,0,0,1.05,0,1.15,0,0,3.44,201.19,0,3.46,10.52,1549.63,0,1.12,1.72,0,2.07,3.19,0,0,0,194.52,0,7.42,3.09,0,8.77
 72-82,0,0.54,0,15.76,2.06,0,294.48,1.64,0,2.91,862.08,0,1.6,0,0,4.26,0,0,0,262.18,0,2.07,21.84,1753.34,0,0.58,2.36,0,13.46,1.27,0,0,0,141.35,0,22.09,0.91,2.83,2.01
 84-94,0,0,0,17.26,9.56,0,238.84,0,2.58,4.81,694.93,0,2.56,1.57,0.55,0,1.4,0,0,271.31,0,6.06,19.22,1153.64,0,3.51,4.08,0,1.88,11.66,0,0,0,113.3,0,8.47,2.79,3.38,0
 96-106,0,0,0,33.43,9.09,9.83,168.69,0.67,1,1.41,809.51,6.19,0,1.56,0,4.48,3.72,4.26,0,264.16,0,8.19,30.32,1330.83,0,0,4.1,0,5.51,6.5,0,0,0,85.82,0,3.36,8.97,0.61,1.24
108-118,0,0,0,11.33,3.31,0.85,139.52,0.56,0,7.76,936.52,0.81,0,3.48,1.01,2.82,1.31,3.86,0,298.91,0,2.91,23.02,1257.94,0,3.14,0.99,0,15.83,5.99,0,0,0,66.34,6.03,5.94,10.85,0.72,3.32
120,0,0,0,24.87,1.62,0,203.16,0,19.53,10.08,1490.26,2.91,0,3.75,0,0,1.04,0,0,317.91,0,42.71,27.88,2482.7,1.18,6.5,1.66,0,18.42,2.06,0,1.21,0,68.24,1.37,18.73,24.3,0,0
