stage,iridophores,mesenchyme,neural,notochord,somites,spinal.cord,vasculature
 14-21,0,0,0,0,1.21,0,0
 24-34,0,0,1.45,0.67,0,0,0
 36-46,0,0,1.31,0,0,0.74,0
 48-58,0,2.27,0,0,0,0,0
 60-70,1.2,0.63,0,0,0,0,0
 72-82,0,0,11.97,0,0,0,1.89
 84-94,0,2.22,0,0,0,0,0
108-118,0.48,0,0,0,0,0,0
