stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,18.39,889.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0
  5-6,13.47,189.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0,3.6,0,5.5,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,17.95,0,0,4.8,0,0,0,0
 14-21,0,0,0,1.86,0.96,0,0,0,1.16,0,0,1.88,0,21.41,0,0,0,1.12,1.35,3.27,1.28,0
 24-34,0,0,0,0,2.3,0,0,0,0,0,0,9.82,0.92,11.69,0,0,0,0.86,0,0,4.5,0
 36-46,0,0,0,1.68,0.63,0,0,0,0,0,0,0,0,32.39,0,0,0,2.79,0,0,2.95,0
 48-58,0,0,0,0,3.41,0,1.08,0,0,0,0,2.51,0.91,8.89,0,0,0,0,0,0,3.1,0
 60-70,0,0,0,0.71,1.97,0,1.37,0,0,0,0,5.1,0,41.51,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,8.06,0,0,0,0,0,0,10.74,0.64,13.85,0,0,0,0,0,0,0,0.95
 84-94,0,0,0,0,8.42,0,0,0,0,0.62,2.36,5.39,1.35,13.09,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.2,21.16,2.95,2.19,0,0,0,0.72,6.2,0,20.79,0,0,0,1.39,0,0,3.11,2.08
108-118,0,0,0.74,1.01,8.68,0,0,0,0,0,0,10.52,1.43,19.96,0,0,0,0.85,0,0,0,0
120,0,0,0,0,9.88,1.69,5.51,2.72,0,0,0,1.33,0,12.55,0,0,0,0,0,0,0,0
