stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.79,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,3.29,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.7,0,0,0,25.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317.71,0,0,0,82.5,0,10.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1629.08,1.17,49.13,0,51.32,0,9.45,1.58,1.83,0,0,4.93,0,1.12,16.13,0,987.2,0.86,0,10.79,3098.97,19.85,4.32,3.88,5.57,0,65.93,0,9.03,0,0,21.68,89.23,0,0,0,0
 24-34,0,0,0,414.24,0,56.67,0,211.88,18.38,20.93,2.14,0,0,1.56,2.19,1.72,0.65,2.6,1.68,1729.34,4.44,0,18.55,7196.72,13.13,0.86,1.52,0,0,80.39,0,0,0,7.73,43.03,125.41,0,0,0,0
 36-46,0,0,0,105.75,0,24.88,0.58,164.1,33.21,81.11,1.95,0,0,1.47,4.12,0,4.86,0,0,1130.01,0,0,13.13,10244.6,2.02,5.93,24.61,0,0,95.73,0,0,0,16.12,2.09,58.07,0,1.16,0,13.4
 48-58,0,0,0,45.43,0,103.77,1.32,140.38,35.35,69.37,3.71,0,0,1.21,0,0,6.09,5.51,2.39,1135.44,0.39,0.41,16.3,7200.66,0.44,3.89,25.03,0,0.39,90.94,1.96,0,0,5.78,0,76.38,0,1.69,0,17.74
 60-70,1.61,0,0,19.2,0,92.85,0,119.89,40.54,57.82,2.4,0,0,0,1.72,0,10.47,0,0,1335.67,3.03,0,7.11,4864.24,0,0,23.13,0,0,74.31,0,0,4.23,3.67,0,12.17,1.84,0.79,0.64,0
 72-82,0,0,0,39.34,0.68,221.69,0,92.64,42.82,74.87,3.86,0,0,0,9.28,8.78,20.04,0,0.58,1269.29,0.74,11.97,5.63,3523.43,1.12,0,21.37,0,0,55.27,0,0,0,0,0,34.61,1.9,2.68,0,14.15
 84-94,0,0,0,85.6,9.05,214.02,0,171.19,30.06,63.18,10.79,0,0,4.07,4.73,0,4.99,0,0.68,1064.3,0,6.68,13.67,2236.96,4.96,1.73,41.14,0,0,122.92,0,0,0,0,0,16.27,8.93,0.67,0.96,1.89
 96-106,0,0,0,101.6,7.94,225.89,6.58,137.83,49.83,87.09,9.32,0,0.68,0,10.98,1.56,14.98,1.52,0.73,825.9,4.1,20.53,2.22,1701.6,0,1.14,40.8,0,0,112.07,0,0,0,0,0,20.51,4.99,0.6,2.24,0
108-118,3.02,0,0,51.7,9.33,90.6,0,160.47,27.57,49.33,4.45,0,0,6.63,5.95,5.51,2.6,1.73,2.38,1007.05,1.94,7.27,1.38,2890.4,0,12.12,49.28,0,2.86,64.38,0,0,0,0,0,10.62,0,0.55,0,5.58
120,0,0,0,89.05,11.85,126.47,0,105.32,20.98,71.44,4.15,0,0,1.63,1.98,0,3.23,0,1.71,817.02,0,10.27,5.39,3117.34,0,0,32.67,0,0,46.49,0,0,0,2.07,0,6.47,10.58,0,0,0
