stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,0,0,5.22,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,11.38,1.23,0,0,1.62,0,0,0,0,0,1.32,1.2,0,0,0,0
 24-34,0,0,1.4,0,0,2.11,0,0,0,0.78,0,0,14.64,0,0,0,2.35,0,0,0,0,0,0,1.11,0,0,0,0
 36-46,0,0,0,0,0,3.49,1.31,0,1.18,1.6,0,0,25.54,0,0,0.56,10.79,0,0,0,0,0,0,2.07,0,0,0,0
 48-58,0,0,0,0,0,0.42,0,0,0,0,0,0,39.74,0.49,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.62,5.47,0,0,0,0,0,0,45.02,0.73,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.33,3.87,4.7,0,0,1.61,0,0,0,131.16,1.93,0,1.92,7.88,1.47,0.51,0,0.53,4.52,0,0,0,0,0,3.44
 84-94,0,0.84,0,0,8.16,9.6,0,0,2.51,0,0,0,461.19,4.75,0,0,32.57,0,0,0,3.86,0,0,0,0,0,0,0
 96-106,0,0,6.49,18.37,24.39,38.19,0,1.32,2.51,5.08,0,1.55,967.14,7.61,0,6.95,103.1,1.03,2.25,0,8.71,0,0,0,0.59,1.93,0.92,0
108-118,0,0,4.95,4.4,54.72,24.22,0,0,10.26,0.45,1.01,0,1759.76,3.64,5.12,1.92,105.96,0,0.69,0,10.46,0,0,1,0,0,0,7.33
120,0,0,0,2.74,7.32,0,0,0,0,1.14,0,0,677.79,18.04,0,0,40.13,0,0,0,0,0,0,0,0,0,0,0
