stage,blastomeres,epidermis,eye,fast_muscle,glial,liver,neural,periderm,spinal_cord,vascular_smooth_muscle
  3-4,36.06,0,0,0,0,0,0,0,0,0
  5-6,7.92,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.06,0,0,0
 10-12,0,0,0,0,0,0,7.96,0,0,0
 24-34,0,0,1.17,0,0,0,0,0,0,0
 36-46,0,0,2.98,0,0,0,0,0,0,0
 48-58,0,0,5.81,0,9.84,0,2.54,0,0,0
 60-70,0,0,33.6,0,24.55,0,1.65,0,0,0
 72-82,0,0,48.32,0,22.1,0,4.84,0,0,0.87
 84-94,0,0,75.35,0,17.55,0,0,0,0,0
 96-106,0,0,156.16,0,28.68,0,10.27,0.8,7.87,0
108-118,0,2.08,144.66,0.67,15.81,0.51,3.33,0,0,0
120,0,2.51,97.41,0,1.16,0,3.81,0,0,0
