stage,blastomeres,endoderm,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,116.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0
  5-6,122.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,23.36,0,0,0
  7-9,0,10.64,16.77,0,0,0,0,0,4.61,0,0,0,0,0,41.97,17.35,0,0,0,0,0
 10-12,0,14.77,9.15,0,0,0,0,0,0,0,0,0,0,0,87.07,23.93,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0.84,0,1.77
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0.63,3.14
 36-46,0,0,0.86,0,0,0,0,0,0,0,0,2.61,0,0.59,17.92,0,0,0,0,0,3.35
 48-58,0,0,6.53,0.7,0,0,2.02,0,0,0,0.5,1,0,0.73,21.38,0,0.56,0,0,0,1.82
 60-70,0,0,5.91,0,0,0,4.09,0,0,0,0,9.32,0,0,15.25,0,0,0,0,0,0
 72-82,0,0,0.58,0,0,0,3.06,0,0,0,0,5.99,0.68,0.56,22.53,0,0,1.81,0,0,1.31
 84-94,0,0,0.85,0,0,0,2.31,0,0,0.75,0,3.05,0,0,4.78,0,0,0,0,0,0
 96-106,0,0,6.36,0,0,0,0,0,0,0,0,6.22,0,0,16.4,0,0,0,0,0,0
108-118,0,0,3.87,0,0.9,0.8,1.77,0.73,0,0,0,2.64,0,0.69,18,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0
