stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.18,739.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.64,565.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,7.71,0,16.06,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.07,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.98,0,4.54,0,0,0,0,0,0,0,0,0,3.13,2.86,0,0,6.32,0.95,0,0,0.9,0,0,0,4.45,24.18,4.77,6.19,0,0,0
 24-34,0,0,0,1.53,0,12.55,0,0,0,0,0,1.22,0,0,0.63,0,5.19,0,1.46,41.19,1.89,0,1.62,0,0,0,0,0,23.61,1.88,9.84,0,0,0
 36-46,0,0,0,4.42,0,10.67,11.16,0,0,3.33,0,0,0,0,0,0,3.76,0,5.67,28.91,0,0.65,0,0,0,0,0.65,0,23.88,0,23.78,0,0,0
 48-58,0,0,0,0,0,120.07,8.38,0,0,1.34,2.43,0,0,0,0,0,7.65,0,0,54.96,0,0,0,0,0,0,0,0,8.44,0,2.84,2.55,0,0
 60-70,0,0,0,4.06,0,667.88,19.49,0,0,8.08,0,0,0,0,0,0,10.92,0,2.67,57.96,0,0,0,0,0,0,0,0,7.91,0,25.11,0,0,0
 72-82,0,0,0,2.33,0,803.44,24.94,6.51,0.62,28.09,1.38,0,0,0,0.61,0,16.32,0,1.41,73.75,0,0,1.86,0,0.71,0.87,0,0,6.76,0,10.03,1.02,0,1.32
 84-94,0,0,0,2.16,0,484.87,16.85,0,0,33.38,0,0,0,0,0,0,24.69,0,2.02,74.11,0,0,0,0,0,4.86,0,0,21.13,0,11.76,0,3.11,0
 96-106,0,0,1.68,1.6,0,505.06,16.15,0.59,0.72,23.96,1.54,0.62,0,0,0,5.87,18.37,3.31,3.9,31.56,0,0.7,1.6,0,0,3.49,0,0,18.16,0,0,0.7,5.34,0
108-118,0,0,0,2.17,1.93,543.58,25.94,0,1.08,21.87,0,0.69,1.12,2.68,0,3.99,19.08,0,10.05,86.46,0,0,0.81,0,0,0,0,0,24.81,0,1.92,0.86,1.03,2.23
120,0,0,0,7.1,0,241.51,18.31,1.4,6.78,8.28,2.52,0,0,0,0,0,40.08,0,13.71,94.53,0,0,0,0,0,0,0,0,13.17,0,0,9.8,10.46,0
