stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0
  5-6,6.86,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.66,1.8,0,0,0,0,0,2.01,0,0,0.9,17.89,0.81,0.96,0,0,0,1.02,3.46,1.74,0,0.98,0
 24-34,0,0,0.66,0,1.82,0,0,0,0,0,0,0,0,0,29.15,0.99,0,0,0,0,0,0.6,3.59,0,0,0
 36-46,0,0,0,0.59,5,0,2,0,0,0,3.44,0,0,1.33,45.64,0,0,0,0,0,0,0,7.08,0,0,0
 48-58,0,0,0,0,14.49,0,10.51,0,0,0.73,2.8,0.63,0,0.5,75.21,0,0.59,0,0,11.35,0,0,20.67,0,0.88,0
 60-70,0,0,0,0,9.74,0,6.32,0,0,0,3.31,0,0,0,15.41,0,0,0,0,0,0,0,5.36,0,0,0
 72-82,0,0,0,0,6.06,0,2.19,0,0,0,1.9,0,0,0.54,17.13,0,0,0,0,0,0,0,9.82,0,0,0
 84-94,0,0,0,0.62,12.66,0,3.44,0,0,0.66,7.09,0,0.92,0,18.56,0,8.8,0.62,0.83,0,0,0,0,0,3.77,0
 96-106,0,0,0,0,8.9,0,3.41,0,0.66,0,6.55,0,0,0,29.62,0,0.73,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.55,14.68,0.5,3.92,0.82,0,0,4.15,0,0,0,14.88,0,0,1.06,0,0,0,0,3.43,1.3,0.73,3.85
120,0,0,0,0,7.6,0,0,2.22,0,0,3.84,0,0,0,70.6,0,0,0,0,0,0,0,0,0,0,0
