stage,axial,blastomeres,epidermis,eye,glial,heart,ionocyte,iridophores,lateral.line,neural,notochord,otic,paraxial.mesoderm,spinal.cord
  3-4,0,51.65,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.42,104.84,0,0,0,0,0,0,0,44.24,0,0,0,0
  7-9,0,0,0,12.27,0,0,0,0,0,65.13,4.22,0,17.19,0
 10-12,0,0,0,0,0,0,0,0,0,32.81,0,0,13.91,0
 14-21,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 36-46,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0
 48-58,0,0,0,0,0,0.84,0,0,0,10.67,0,0,0,0.81
 60-70,0,0,0,3.81,2.81,0,0,0,0,38.24,0,0.85,0,1.38
 72-82,0,0,0.68,5.6,3.4,0,0,0.76,0,34.47,0,0.69,0,4.6
 84-94,0,0,1.42,4.91,0,0,0.67,0,0,19.4,0,2.09,0,0
 96-106,0,0,5.18,3.35,0,0,0.68,0,0.79,16.64,0,0.6,0,0
108-118,0,0,5,5.14,2.24,0,0,0,0,43.56,0,0.6,0,1.33
120,0,0,12.47,0,0,0,0,0,0,38.05,0,0,0,0
