stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,mesenchyme,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.16,0.97,0,0,0,0,17.01,0.9,0,1.15,0,4.32,0
 24-34,0,1.15,0,0.76,0.8,0,1.47,20.99,0,0,1.71,0,4.81,0
 36-46,0,0,0,3.67,0,0,0,10.83,0,0,0,0,3.59,0
 48-58,0,0,0,1.45,0.68,0,0.83,7.3,0,0,0,0,5.56,0
 60-70,0,0,0,3.2,1.27,0,0.77,6.56,0,0,0,0,0,0
 72-82,0,0,0,2.3,0.8,0,0,8.71,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.15,0,0,2.77,0,0.56,0,0
 96-106,0,0,0,0,0,0,0,3,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.99,0.93,7.42,0,0,0,0,0,2.64
120,0,0,0,0,5.27,0,0,5.32,0,0,0,0,0,0
