stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,47.19,845.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0
  5-6,24.68,639.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,0,0,0,8.57,0,0,0,0,0,0,0,0,0
  7-9,10.5,7.88,0,0,0,18.15,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,135.77,19.51,0,0,34.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,53.24,0,11.92,0,4.35,0,0,0,0,0
 14-21,0,0,1.11,0,0,1.88,0,0,0,0,0,1.01,0,0,0,0,0,1.07,0,0,82.24,0.87,1.44,0,0,0,0,2.7,0,1.78,2.79,19.1,0,0
 24-34,0,0,0,0,0.9,12.98,0,0,1.53,0,0,0,0,0,0,0,1.95,0.68,0,0.85,79.95,0,10.34,0,0,0,0,0,0,0,0,14.71,0.75,0
 36-46,0,0,0,0,0,45.39,0,0,2.63,0,0,1.84,0,0,0,0,0,2.02,0,0,192.2,0.72,0.83,0,0,0,0,0,0,0,0,30.07,0,0
 48-58,0,0,0,0,0,136.69,0.42,3.06,8.2,0,0,0,0,6.95,0,0,0,0,0,0,150.3,0,0.55,0,0,4.3,0,0,0,0,0,38.6,0,0
 60-70,0,0,0,0,0,308.31,0.65,0,17.2,0,0,0,0,0,0,4.62,0,0.84,0,0.58,140.13,0,0,0,0,0,0,0,0,2.16,0,23.35,0,0
 72-82,0,0,0,0,3.11,219.05,0,0,7.18,0,0,0,0,0,0,0,0,3.95,0,0,131.73,0,1.28,0,0,0,0,0,0,0,0,29.11,0,6.09
 84-94,0,0,0,1.67,0,215.6,0,0,4.83,0,0,0,0.63,0,0.65,0,0,8.77,0.58,0.74,171.72,0,4.65,1.17,0,0.77,0,0,0,0,0,23.09,0,0
 96-106,0,0,1.96,0.6,6.23,185.33,0.59,1.11,18.12,1.48,0,0,0,0,0,0,0,5.09,0,0.6,100.01,0,0.74,1.93,0,0,0,0,0,0,0,14.85,1.6,0
108-118,0,0,1.11,2.22,1.35,171.09,0,0,12.77,0,0,0,0.42,0,0,0.49,0,1.44,0,0.68,186.75,0,1.31,0,0,0,0,0,0,0,0,5.76,0.74,0
120,0,0,0,0,0,126.95,0,0,43.92,0,0,11.6,0,0,0,3.99,0,3.45,0,0,199.58,0,9.85,0,0,0,0,0,0,0,0,19.76,0,0
