stage,epidermis,eye,glial,heart,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,1.05,0,0,0,0,0.88,0,0,0,2.46,0,0,0.85,1.44,0,0,0
 24-34,1.4,0,0,0,0,0,0,0,0,9.04,0,0.71,0,0,0,0,0
 36-46,0,0,2.93,0,0,0,0,0,0,7.54,0,0,0,2.73,0,5.21,0
 48-58,0,4.8,0.89,0.66,0,9.54,0,0,0,14.59,0,0,0,0.46,0,0,0
 60-70,0,0,0,0,0.62,1.21,0,0,0,2.83,0,0,0,0,0,0,0
 72-82,1.38,5.42,1.52,0,0,1.01,0,0,3.46,19.39,0,0,0,1.05,0,0,0
 84-94,0,0,2.19,0,0,0.86,0,0.57,1.88,4.34,0,0,0,0,0,7.43,1
 96-106,0,11.84,0,0,0,0,0,0,0,14.62,0,0.89,0,5.68,0,0,0
108-118,0,8.11,1.2,0,0,0.92,3.66,0,0,10.95,0,0,0,0,0.9,2.85,0
120,0,10.2,0,0,0,3.27,0,0,0,31.28,1.28,1.37,0,0,0,2.9,0
