stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,0.96,0,0,0,4.4,0,0,0,0,1.17,0,0,0,5.27,1.35,2.02,1.06,0,26.24,10.67,0,0
 24-34,0,0,0,0,19.27,0,0.64,2.47,0,11.87,0,1.37,0.77,0,0.87,0,0,0,16.46,0,4.61,3.94,4.69,32.86,15.91,0,0
 36-46,0,0,0,0,20,0,5.48,0,0,0.64,0,0,0,3.34,1.17,0,0,0.62,36.75,0,4.54,0.8,3.02,19.18,10.35,0,0.91
 48-58,0,0,0,0,2.45,0,3.31,0,0,3.15,0,0,0,1.73,2.34,0,0,0,20.55,0,1.67,2.73,1.09,3.18,6.54,0,1.05
 60-70,0.81,0,0,0,9.11,0,20.29,4.75,0.84,0.7,0,0,0,0.96,2.29,0,0,0,17.11,0,5.97,10.86,11.12,11.1,3.4,0,0
 72-82,0,0,0,0,2.88,0,11.84,2.88,0,3.96,0,0,0,9.51,4.74,0,0,0,16.92,0,9.19,16.98,3.57,1.83,5.35,0.68,0
 84-94,0,0,0,1.6,5.52,0,5.74,2.2,0.89,3.63,1.86,0,0,11.52,1.33,0,0,0.6,1.86,0,7.25,30.37,5.92,4.67,1.52,0.61,0.97
 96-106,0,0,0,0,4.74,0,6.19,1.03,0,0.75,0,0,0,14.07,0,1.47,0.59,0,5.99,0,9.09,36.8,3.01,4.01,4.17,0,4.94
108-118,0,0,0.95,0,7.09,0,6.26,1.81,0,2.71,1.01,0,0.83,14.06,0.67,0,0,0,9.46,0,5.76,40.67,6.18,8.14,0,1.68,0.46
120,0,0,0,3.17,15.49,0,25.48,0,0,2.26,0,0,0,14.49,5.12,0,0,0,0,0,1.09,25.68,5.21,1.87,2.96,1.09,0
