stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,70.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0
  5-6,9.98,229.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,0,15.23,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,72.87,0,0,0,10.73,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.86,5.01,0,0,21.2,0,0,0,14.35,0,0,0,0,0,0,0
 14-21,0,0,2.46,15.17,18.83,4.54,0,0,0,0,0,5.42,5.54,0,0,0,1.15,0,0,1.76,3.57,12.93,0,0,10.04,42.46,2.17,0,1.09,2.01,0,19.92,5.21,0,0,2.86,10.73,0,4.31,0,0
 24-34,0,0,0.96,26.74,13.35,0.84,0,8.87,0.72,0,0.62,20.85,13.23,0,6.47,0,0,0,0,0.94,4.68,52.31,0,0,27.44,246.33,3.43,8.37,0,0,0,9.74,0.71,15.38,0,4.89,88.93,0,45.47,0,0.77
 36-46,0,0,0,1.35,22.4,0,0,27.01,4.98,0,2.84,10.15,3.06,0,1.77,1.24,0,0,0.62,3.73,0.7,44.16,7.69,0.74,8.54,469.36,0,1.15,0,0,0,9.23,0,13.34,0,0,117.78,0,53.51,0,0
 48-58,0,0,1.25,0,3.43,0,0,118.04,0,5.82,4.87,16.02,1.94,0,0,0.47,0.97,1.27,0,12.05,1.81,20.82,0,1.96,4.14,526.99,0,0.89,0,0,0,0,0,1.33,0,0,81.81,0,33.43,0,5.3
 60-70,0,0,0.65,0,13.46,0,0,398.17,0,0.67,3.65,30.46,2.69,0,0,0.79,0,0,0,4.9,1.93,45.86,0,1.7,2.26,853.94,0,0.92,0,0,3.26,2.19,0,2.88,0,0,131.81,2.7,15.86,1.25,0
 72-82,0,0,1.97,0,6.51,5.34,0,582.33,0,1.14,6.67,55.85,8.38,0,0,6.58,0,0,0,11.9,0,100.98,0,0.55,3.57,747.52,0,1.38,0,0,7.24,1.91,0,2.36,0,0,169.8,0,48.91,1.94,14.17
 84-94,0,0,0,0,2.75,1.26,0.87,526.52,0,0,11.65,33.45,5.1,0,0.7,0.62,1.41,9.61,0,31.09,1.57,83.28,0,4.19,1.91,455.27,0,0.76,0,0,8.36,8.53,0,7.71,0,0,136.87,0,34.6,1.01,9.31
 96-106,0,0,4.51,0,20.86,2.47,1.51,630.6,1.64,0.58,3.37,111.37,16.99,0,5.41,3.15,1.8,2.45,0,43.97,0,176.62,1.26,2.47,5.66,631.94,0.85,6.38,0,0,16.8,7.1,0,12.07,0.6,0,103.29,4.23,79.31,3.18,11.46
108-118,0,0,3.72,0,42.6,0.92,26.06,692.62,0,5.95,7.51,158.13,18.12,0,2.64,6.52,3.61,4.36,0,72.37,0.84,224.88,2.4,13.38,12,849.49,0.92,3.35,0,0,22.94,2.84,0,10,0.86,0,59.49,3.22,78.47,2.16,20.8
120,0,0,4.86,0,44.26,0,0,566.36,2.24,7.28,5.48,203.83,17.79,0,6.44,0,0,13.6,0,52.25,1.61,359.26,1.72,13.81,11.39,1047.48,2.01,2.61,0,0,54.87,28.57,0,37.71,0,0,133.16,9.16,120.72,2.27,1.16
