stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,273.78,4957.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,236.83,3073.32,0,8.02,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,196.57,8.9,0,8.76,0,46.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,8,18.26,0,8.06,0,0,20.89,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,0,393.51,25.67,0,124.89,0,0,30.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.13,0,32.09,0,17.21,12.07,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,1393.98,9.08,0,47.86,0,3.1,8.97,0,21.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1071.73,107.7,5.61,2.01,0,1.18,2.95,0,1.69,38.17,7.1,0,0,2.94,0,7.39,2.48,0,5.9,47.63,0,0,2.42,0,152.12,2.95,8.75,0,1.91,9.77,11.89,0,0,35.2,0,2.45
 24-34,0,0,1.35,0,323.95,23.61,4.33,25.28,0.62,0,1.35,0,12.16,81.93,4.44,0,0,4.01,6.29,32.49,5.6,1.66,7.3,63.1,1.19,0,0,0,102.41,0,1.59,0,0,7.28,11.13,0,0,167.52,0,4.28
 36-46,0,0,0,0,116.95,1.3,3.32,36.99,7.31,1.62,0,0,2.54,99.88,0,0,0,0,10.43,25.36,1.52,0,6.18,46.57,0,0,0,0,151.24,0,0,0,0,0,2.48,0,0,68.97,0,4.56
 48-58,0.58,0,0,0,82.38,0.39,7.12,28.71,10.4,1.32,0,0,1.1,83.01,0,0,0,0,0.5,20.44,1.34,1.33,6.26,24.01,0,0,0,0,61.26,0.65,0,0,0,0,4.39,0,0,52.28,0,3.85
 60-70,0,0,0,0,95.7,0,19.12,34.03,8.23,4.03,1.62,0,0,71.84,0,0,0,0,10.04,14.9,0,0,3.01,29.83,0,0,0,1.13,72.11,0,0,0,0,0,0,0.61,0,33.56,0,9.78
 72-82,0,0,0,0,48.46,0.52,8.95,11.26,1.89,1.62,0.51,0,2,107.25,12.75,2.25,0,0,0,10.79,3.55,7.04,3.78,22.67,0,0,0,2.23,39.44,0,0,0,0,0,0,0,1.18,64.66,2.19,4.5
 84-94,0,0,0,0,92.75,2.9,15.48,19.35,3.13,2.73,0,0,0.8,153.85,8,0.57,0,0.89,0,22.57,10.82,2.26,1.53,10.47,0,2.46,0,3.07,171.06,0,0,0.73,0,0,0,1.21,0,90.48,3.54,0.89
 96-106,0,0,0,0,76.22,8.56,23.14,17.11,4.02,8.49,0.7,0,2.6,144.44,0.73,0.59,1.71,0,0,28.36,0,3.81,0,24.26,0,2.36,0,3.94,161.94,0,0,0,0,0,0,0,0.79,35.72,3.3,4.16
108-118,0,0,0,0.49,88.05,0.61,45.38,23.99,2.07,2.6,3.95,0,1.32,140.4,3.92,3.14,2.02,0,1.34,20.65,2.55,0.49,3.19,40.54,0.47,0.81,0,10.91,152.58,0,0,0,0,0,1.74,1.13,0,30.09,0.72,1.5
120,0,0,0,0,55.24,1.98,51.43,17.15,3.8,20,0,0,0,216.28,5.73,0,0,8.88,0,7.45,1.31,10.49,0,35.76,0,1.7,0,8.07,120.03,0,0,0,0,0,0,0,0,44.24,0,14.25
