stage,epidermis,eye,glial,gut,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,5.5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,23.58,0,5.71,0,0,0,0
 14-21,0,0,0,0,0,0,2.39,0,0,0,0,1.71,0.92
 24-34,0,0,0,0,0,0,7.56,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,10.54,0,0,0,0.81,0,0
 48-58,0,0.87,0,0,0,0,19.69,0.37,0,1.04,0,0,0
 60-70,0,4.66,0,0,0,0,22.38,0,0,2.5,0,0,0
 72-82,0,6.69,0.64,0.63,0,0,76.73,0,0,0,0,0,0
 84-94,0,3.81,0.62,0,0.73,0,50.59,0,0,0,0,0,0
 96-106,0.69,3.02,0.81,0,0,0,35.02,0,0,0,0,0,0
108-118,0,2.99,4.38,0.71,0,0.82,135.64,0,0,0,0,0,0
120,0,0,0,0,0,0,219.56,0,0,0,0,0,0
