stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,114.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,4.97,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.58,0,4.98,0,0,0,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.48,9.87,0,0,82.77,0,0,9.03,0,13.15,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,0,5.01,0,0,2.24,0,0,0,1.83,2.28,0,0,0,0,0,1.36,0,4.39,0,0,2.7,22.24,1.91,3.54,0,0,0,0,0,26.85,9.56,7.29,100.38,24.76,0,0,0,0,0
 24-34,0,0,0.61,0,2.63,0.85,0,10.74,0,0,0,0,0,0,0,0,0,0,2.41,1.31,8.61,0,0,3.49,173.91,0,27.21,0,0,0,2.28,0,0,53.68,9.29,50.08,113.82,0,0,0,0,0
 36-46,0,0,0,0,2.46,0,0,10.06,2.72,2.74,1.64,4.6,0,3.49,0,0,0,0,0,18.71,20.58,3.65,0,4.58,425.03,2.85,1.96,0,0,0,0,0,0,39.14,1.27,0.69,118.13,0,0,4.44,0,10.59
 48-58,0,0,0,0,4.43,0,0,64.67,0,0,2.56,4.71,0,4.2,0.42,0,0,0.48,0,22.88,34.21,0,0,2.16,706.01,0.96,1.98,0,0,0,0.39,0,0,26.69,0,0,88.09,0,0,0,0,37.57
 60-70,0,0,0,0,4.5,0,0,79.13,0,0,4.66,14.82,0,9.41,0,0,0,1.57,0,36.57,49.32,0,0,3.31,1194.26,4.5,1.92,3.98,0,4.22,0,0,0,44.05,0,0,166.41,0,0,0,0,60.06
 72-82,0,0,0.62,0,10.66,1.48,1.86,221.6,0,0.5,3.01,36.37,0,6.91,1.71,0.53,1.82,0.55,0,26.44,113.25,0,3.42,6.8,1469.78,0,6.67,13.61,1.13,0,1.34,0,0,61.2,0,0,221.15,3.28,0.87,1.76,0.61,45.21
 84-94,0,0,1.05,0,10.9,7.84,0,175.59,0,0,5.76,40.23,0,13.24,0,0,2.97,0,0,9.69,76.13,3.03,6.28,1.85,1053.12,0.56,0,10.42,0,0,2.43,0,0,59.54,0,0,125.1,3.72,3.87,7.01,0.63,35.14
 96-106,0,0,1.04,0,8.35,5.34,0,124.01,0,0,0.82,50.72,0.58,11,0,1.12,8.78,1.29,3.07,31.62,61.83,2.02,6.08,6.78,1098.22,0,2.71,22.19,0,0,14.54,0,0,53.06,0,0,82.09,0,0.72,0,0,56.35
108-118,0,0,0,0,12.19,0,0,129.26,0,0.52,3.5,30.53,0.98,9.87,0,0,13.32,0.51,0,51.69,78.68,0,18.7,11.08,1358.3,0,1.85,21.55,0,0,2.12,0,0,51.06,0,0,65.17,0,1.42,0,3.26,57.01
120,0,0,0,0,10.2,3.56,0,232.86,0,0,0,56.19,0,8.24,0,0,8.49,0,0,7.29,73.88,0,21.96,10.78,1866.46,3.53,4.01,22.15,0,9.57,2.4,0,0,56.19,0,0,80.44,0,0,1.1,0,35.89
