stage,endoderm,epidermis,erythrocytes,eye,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,9.41,47.94,4.58,16.36,8.91,3.17,0,9.02,0,22.71,387.52,4.13,0.99,0,1.8,1.37,1.08,15.22,180.69,1.18
 24-34,1.81,7.04,0,6.63,30.08,1.77,1.64,18.35,0,24.28,452.41,4.1,0,0,0,0,0,1.23,173.96,0.79
 36-46,0,4.14,0,2.93,8.5,0.72,0,15.28,0,6.85,107.66,0.72,0,0,0,0,0,0,131.29,0
 48-58,0,0,0,0.45,5.11,0.93,0,7.69,0.49,1,10.47,0,0,0.92,0,0,0,0,17.63,0
 60-70,0,0,0,1.17,0,0,0,2.34,0,0.76,2.54,0,0,0,0,0,0,0,2.79,0
 72-82,0,0,0,0.68,0.62,0,0,2.03,0,0,0,0,0,0,0,0,0,0,1.47,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.74,0.69,0,0,0,0,0,0,3.73,0.84
 96-106,0,0,0,3.68,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
