stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,102.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,32.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,54.75,0,1,0,0,1,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,3.79,0,0,0
 24-34,0,0,0,0.6,79.49,0,0.78,0.62,0,6.03,0,0,0,0,0,0,0.64,0.63,33.52,0,0,0,4.08,0,0,8.94,0,2.73,0
 36-46,0,0,0,0,20.59,0,0,0,0,3.02,5.22,0,0,0,0,0,4.4,1.38,31.55,0,0,0,0,0,0,16.81,0,0,0
 48-58,0,0,0,0,30.4,0,3.54,0,4.11,8.35,0.64,0,0,0,0,0,2.57,0,27.32,0,0,0,0,0,0,35.07,3.61,0.71,0
 60-70,0,0,1.1,0,5.53,0,20.63,0,2.62,2.87,0,1.78,0,0,0,0,0,0,99.3,0,0,0,0,0,0,23.36,2.92,0,0
 72-82,0,0,0.56,0,20.76,0,74.12,0,21.18,10.03,2.03,0.6,0.71,0,0,0,4.53,1.67,192.57,0,1.63,2.35,0,0,0.49,12.59,6.5,3.01,0
 84-94,0,0,1.23,1.53,23.11,0,96.37,0,18.17,13.53,0,1.19,1.52,0,0,0,2.52,0,120.31,0,0.71,0,2.95,0,0,20.09,0.92,0.65,0
 96-106,0,0,3.13,0.6,40.81,0.63,310.75,0,13.28,31.25,0,1.05,0,1.14,0.63,3.93,6.36,0,179.03,0.77,0,0,8.34,0,4.07,37.13,10.87,22.79,0.61
108-118,0,0,0,6.88,25.29,0,339.04,0,35.4,18.95,0,1.83,2.71,0,0,0,11.12,4.46,218.84,0.43,0,0,4.12,0,0,18.03,14.21,19.41,2.26
120,0,0,0,13.39,59.15,0,124.81,1.12,10.81,46.72,1.15,4.63,4.41,0,0,0,12.62,0,379.49,5.94,0,0,13.86,2.5,2.05,5.85,18.58,45.53,0
