stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.63,20.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,25.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,3.43,0,0,0,2.48,10.37,0,0,0,0,0,0
 24-34,0,0,0,1.4,0,2.12,53.22,0,0,0,2,0,0,0,0.63,0,2.96,0,0,0,20.08,37.54,0,1.37,0,1.27,13.95,4.43,4.02,0,0,0,0
 36-46,0,0,0,1.89,0,9.25,205.78,0,4.03,0,1.05,0,0,0,0,0,2.98,2.17,0,0,15.48,54.7,0,0,0,1,81.1,0.6,7.47,0,0,0,5.56
 48-58,0,0,0,0,0,29.59,274.32,0.62,8.12,0,0,0,0,0,0.97,0,0.6,11.91,1.34,1.42,12.48,97.67,1.14,0.64,0,4.6,129.55,0,13.92,0,0.45,0,5.75
 60-70,0,0,0,6.01,0.68,61.55,166.91,0,2.92,0,0,0,0,0,0,0,0,26.2,0,0,15.33,88.22,0,0,0,4.19,99.17,0,3.75,0,2.56,0,0
 72-82,0,0,0.54,1.08,7.08,13.22,92.48,0,5.5,0,0,0,0,0,0.88,0,0,6.15,0,0,15.03,57.52,0,0,0,1.14,61.73,0,12.2,0,1.22,1.45,5.25
 84-94,0,0,0,0,3.61,49.32,139.67,0,11.26,1.04,0,1.4,0.86,0,0,0.68,4.86,30.37,0,0,16.71,53.55,9.31,0,0,5.12,119.36,0,0.94,0,0,0,0
 96-106,0,0,0,0.59,9.26,78.28,123.07,0,7.01,0,1.55,0.81,3.17,7.37,1.48,0,0,36.08,0,2.28,26.78,51.75,0,1.76,0,8.06,71.8,0,6.09,0,0.8,0,8.09
108-118,0,0,0,1.06,0,19.06,82.66,0.87,0,0,0,0,2.01,3.63,0,1.31,0,11.95,0,0.56,24.32,25.27,0,0,0,1.13,55.84,0,3.01,0.89,0,0.68,0
120,0,0,0,1.53,3.49,16.16,1.16,0,0,0,0,0,0,0,0,0,0,3.27,0,0,2.65,14.91,0,0,0,0,1.69,0,2.14,0,0,0,0
