stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,100.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.72,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,25.81,0,0,19.78,37.75,13.82,0,0,0,0,0,0,5.34,1.13,4.99,0,0,0,8.12
 24-34,0,0,0,1.34,19.95,0,0,3.81,5.06,0,16.22,0,0,7.56,1.47,1.32,2.93,0.68,0,4.37,201.69,0,3.15,144.46,103.24,9.39,0.84,0,0,0,1.25,0,20.82,12.2,15.52,0,7.93,0,161.24
 36-46,0,0,0,0,5.76,0,0,2.85,29.26,5.32,39.29,5.29,0,18.02,0,0,33.67,0,0,44.29,425.25,0,42.95,224.74,154.64,2.68,0,0,0,0,2.81,0.62,35.8,0,14.57,5.19,2.36,0,525.92
 48-58,0,0,0,0,10.2,1.92,0,25.98,29.21,0,29.4,43.73,0,15.41,3.41,0,121.27,0,0,20.1,580.47,1.21,118.55,93.05,210.27,0,0,0.5,0,20.88,0.38,0.4,24.33,0,5.87,7.87,0,1.8,606.05
 60-70,0.81,0,0,0,2.16,0,0,23.79,54.28,12.3,16.92,142.13,0,5.13,4.08,0,438.11,0,7.26,16.38,1047.63,0,274.34,79.73,302.38,0.68,0.67,3.88,0,6.52,6.55,0,13.16,0,3.36,93.27,0.72,100.74,365.84
 72-82,0,0,0,0,12.67,5.83,0,73.52,155.22,6.92,25.46,370.03,8.75,5.17,0.72,0.55,359.36,0.65,2.45,12.13,1134.81,0,251.34,88.18,312.45,0,0.7,14.77,0,19.63,1.81,5.92,2.67,0,14.92,91.91,2.81,264.33,257.1
 84-94,0,0,0,0,21.63,3.31,0,76.53,211.83,0,27.62,357.08,0.57,4.55,6.01,0.94,432.85,0,6.6,3.07,1101.19,0,258.04,102.6,257.14,0,1.47,10.01,0,9.34,2.4,0,3.24,0,0.7,133.74,6.1,432.05,187.59
 96-106,0,0,0,0,7.94,18.26,0,41.9,329.38,0.57,15.06,255.65,0,0,16.56,0.81,221.42,1.64,5.92,7.52,896.62,0,97.94,143.1,237.28,0.64,2.07,1.91,10.66,17.28,2.3,3.04,3.56,0,7.89,49.89,9,345.12,109.41
108-118,0,0,0,0,2.63,0,5.94,54.93,210.88,3.48,7.23,261.75,0,2.64,1.42,0,379.23,1.38,7.58,4.96,860.64,0,161.29,82.88,291.17,0.57,1.69,4.56,0,22.06,3.89,1.19,0,0,9.23,66.81,5.04,239.25,157.75
120,1.12,0,1.37,0,6.3,0,0,34.73,222.36,0,18.53,381.85,0,2.18,1.88,0,232.57,0,3.74,3.89,716.27,0,137.37,31.64,341.69,6.62,0,2.92,0,21.08,0,0,0,0,33.09,63.06,3.36,461.7,77.91
