stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,27.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,1.95,0,0.81,0,0,0,0,0,0.9,0,0,0,0,0,0,3.47,0,0,0,0,17.86,0,0,0,0,0,0,0.96,0,1.08,0.98,6.03,0,0,0,0,8.01
 24-34,0,0,2.2,0,0,9.65,0.67,0,0,10.13,0.69,0,0,3.43,0,3.43,0,0,46.48,0,0,0,0.67,71.63,0.65,0,0,0,0,7.42,0,0,1.27,0,29.71,0,0,2.67,0,287.75
 36-46,0,0,11.54,0,0,10.03,13.54,0,0,28.65,0,0,0,2.12,0,4.65,0,14.42,269.9,31.99,0,0,0,59.76,1.67,0,0,0,0,9.81,0,0.9,8.24,2.39,27.13,0,0,3.47,0,577.69
 48-58,0,0,8.96,0,0,37.63,21.65,0,1.86,18.49,0,0,1.4,2.1,0,9.87,0,0.8,138.95,190.72,0,0,2.02,87.72,0,0,0,0,0,10.05,0,0,0,0,25.54,0,0,4.08,0,705.61
 60-70,0,0,52.17,0,0,41.56,19.2,0.76,4.77,84.79,0.81,0,1.95,0.63,0,0,0,0,81.03,591.4,0,1.87,2.82,111.03,0,0,0,0,0,7.31,0,0,0,0,7.7,0,3.4,16.73,0,808.74
 72-82,0,0,70.69,6.7,0,171.67,80.37,2.48,11.59,349.3,6.35,0,0.49,11.65,0.66,4.47,1.72,8.89,63.23,1643.03,0,8.64,4.11,214.5,5.63,0.54,1.01,4.01,0,15.36,0,0,0,0,19.07,0,31.18,5.27,3.41,515.55
 84-94,0,0,183.76,6.04,0,187.55,87.3,12.78,11.26,294.39,9.14,0,0,12.26,0,5.03,0,0,200.48,1661.6,0.57,9.77,6,141.29,0.67,0,0,0,0,47.37,0,1.35,0,0,25.72,0,22.48,1.63,1.96,351.52
 96-106,0,0.81,379.11,75.83,10.25,420.01,222.36,24.94,32.87,696.23,7.11,0,3.61,19.06,9.64,0.76,0.77,88.32,56.64,4322.52,0,7.6,26.07,400.28,7.29,8.65,4.48,0,5.73,251.13,0,0.71,0,0,32,5.38,37.39,24.15,12.66,258.1
108-118,0,0,685.08,12.95,6.3,275.77,165.38,37.39,21.45,672.03,0.48,0,3.53,20.63,2.75,4.14,7.11,68.18,151.74,5260.35,10.66,46.37,40.44,454.09,16.01,2.52,3.16,0,3.32,656.03,0,1.91,0.5,0,19.38,6.82,44.41,17.35,4.28,237.15
120,0,0,456.01,39.76,16.09,301.91,162.82,33.47,8.15,836.12,2.38,0,2.18,23.81,3.2,0,2.07,75.57,51.27,5475.28,0,126.36,39.69,382.05,15.2,0,17.64,0,0,277.03,0,1.58,1.32,0,35.03,6,4.7,0,8.56,78.94
