stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,8.86,0,0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.39,26.7,0,0,28.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.7,0,0,0,9.59,0,0,5.78,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0.92,0.82,0,7.13,0,0,3.87,0,0,0,0.95,0,0,0,0,0,3.1,0,0,0,188.55,12.35,0,0,0,0,0,0,0,0.81,184.21,0,0,0,0,0
 24-34,0,0,0.59,2.43,0,0,24.21,0,0,11.86,0,0,0.82,0,1.17,0,0,0,0,14.78,0,0,2.61,1467.03,0.94,11.97,0.66,0,0,1.48,0,0,0.8,598.06,0,0,0,0,0
 36-46,0,0,0,1.65,0,0,61.37,0,0,20.44,0,0,0,0,0,0,0,0,0,18.67,0,0,2.02,3197.92,0,28.46,0,0,0,18.69,0.62,0,0,1180.4,0,0,0.56,0,3.82
 48-58,0,0,0,12.43,0.46,0,307.14,1.4,0,60.75,0,0,0.63,5.39,0,0,0,0,0,19.32,0,2.52,0.51,3303.24,0.53,14.57,0,0,0.79,10.89,0.39,0,0,956.49,0,0,9.03,0,0
 60-70,0,2.06,0,15.68,0,0,589.53,0.96,1.88,39.73,6.23,0.97,0,0,0,0,0.77,0,0,14.78,0,0,8.86,3927.69,1,11.41,8.02,0,0.71,0,0,0,0,636.98,0,1.74,0,0,6.81
 72-82,0,1.66,0,5.65,4.46,0,440.27,0,0,44.7,2.47,0,0,0.59,0,0.62,0,0,0.85,33.06,0,0,0.8,2314.54,0,7.28,2.28,0,1.77,3.41,0,0,0,310.72,1.76,0,4.13,0,2.76
 84-94,0,0,0,4.31,1.19,0,394.46,0,0,27.92,0.63,0,0,5.9,0,0,0,0,0,7.29,0,1.27,0.74,1781.27,0,11.16,0,0,0,1.72,1.07,0,0,162.05,0,0,0,0,0
 96-106,0,0,0,7.71,0,0,212.34,0,0.58,24.83,1.02,0,0.66,0,0,0,0,0,0,33.89,0,0,2.72,1047.97,0,2.9,0,0,0,2.59,0,0,0,79.19,1.13,0.88,0,0,1.22
108-118,0,0,0.74,7.24,1.34,0,211.62,0,0.43,27.19,3.71,0,0,0.64,0,1.43,0,0,0,6.61,2.12,0,0,1349.69,0,9.61,0,0,2.15,1.87,0,0.69,0,43.22,0.46,1.8,0,0,0
120,0,0,0,24.22,0,14.01,258.1,0,1.21,69.88,0,0,0,8.07,6.31,0,0,18.25,0,58.78,0,0,1.93,2182.64,0,0,13.55,0,0,0,0,0,0,68.69,0,0,2.66,5.63,0
