stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,343.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,155.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.14,0,0,0,0,0,29.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,3.53,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.34,0,0,0,8.98,0,0,0,13.79,0,0,0,0,0,0,0
 14-21,0,0,0,5.26,3.36,0,0,0,0,0.96,0.99,0.92,0,0,0,5.07,0,0,1.02,39.73,1.73,1.37,1.02,0,0,2.05,6.37,0.9,2.36,2.62,13.59,0,0,0,0
 24-34,0,0,0,2.14,0,11.29,0,0,0,1.67,0,0,0.82,0,0.68,5.42,0.69,0,5.67,93.77,0,0,1.34,0,0,4.14,0,0,0,1.57,10.55,0,1.27,0,0
 36-46,0,0,0,2.45,0,10.21,0,1.15,0,3.44,0,0,0.79,0,0,18.95,0,0,2.06,120.09,0,0,0,0,0.97,0,0,0,0,0,29.67,0,0,0,0.67
 48-58,0,0,0,1.07,0,36.75,0,0,0.81,11.35,0,0,0,0,0,13.17,0.41,0,2.52,121.87,0,0,1.75,0,0,0,0,0,0,0,22.07,0,6.62,0,0
 60-70,0,0,0,7.16,0,19.58,0.68,0,0,8.92,0.63,0,0,3.59,0.77,18.36,0,0,1.62,147.62,5.04,1.08,0,0,0,0,0,0,0,0,20.02,0.61,2.71,1.25,0
 72-82,0,0,0.93,0.88,0.99,15.99,1.78,0,0,14.82,0.72,0.56,0,0,0,22.97,0,1.1,4.27,84.83,0,3.12,0,0,2.8,0,0,0,0,0,15.43,0.5,0.62,0.84,0
 84-94,0,0,0,1.03,0,7.74,0,0,0.57,5.71,0,0,2.37,0,1.32,19.86,0,0,1.53,65.11,0,0.6,2.03,0,0,6.63,0,0,0,0,9.9,0,1.69,0.68,0
 96-106,0,0,1.37,1.04,0,26.46,0,0.71,0.66,3.65,0,0,0.64,0.57,0.57,8.16,0,0,0,37.13,0,0,0,0,1.6,1.74,0,0,0,0,1.02,0,0.66,0,3.81
108-118,0,0,0,4.75,0.79,29.87,0.44,0,0,7.51,0,0.61,2.57,0,0,27.44,0,0.74,1.64,72.31,0,1.05,0,0,0,0.88,0,0,0,0,2.25,0,1.86,0,0
120,0,0,0,5.02,0,4.97,0,0,0,0,0,0,0,0,0,38.45,0,0,3.79,27.05,0,0,0,0,0,2.72,0,0,0,0,0,0,1.14,5.09,0
