stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.46,1929.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.74,1254.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,11.35,0,20.54,0,0,0,5.2,0,0,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,135.05,3.69,0,0,25.77,0,0,19.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.83,0,5.27,0,10.08,0,14.9,0,0,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0,309.47,12.56,0,0,41.17,0,0,0,0,29.3,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,0,18.22,5.32,0,11.02,0,0,0,12.2,0,2.86,0,0,0,0,0,0,0,10.91,0,7.89,135.56,1.06,8.02,0.88,0.86,0,0,0,6.2,2.03,1.86,7.72,62.19,0,0,0,0,0
 24-34,0,0,0.71,0,10.18,0.84,0,29.44,0,0.6,0,10.87,0.73,0,0,0,3.24,0,1.36,0,0,28.11,0,9.01,438.87,1,19.26,7.12,0,0,8.75,0,0,7.33,1.39,1.25,100.87,0,0,5.44,0,5.67
 36-46,0,0,0,0,5.99,6.11,0,71.89,3.59,0,0.76,38.07,0.72,0,2.15,0,0,0,0,2.4,0,40.82,0,9.81,535.28,0,10.34,0,0,0,21.42,0,0,2.46,0,0,106.6,0,0,3.21,0,0
 48-58,0,0,0,0,7.37,0.42,0,257.81,0,0.82,3.02,36.43,1.78,0,1.26,0,0,4.24,1.33,0,3.96,46.84,1.68,8.51,492.98,0.48,9.58,2.32,0,0.98,2.12,0,0,2.81,0,0,75.78,0,0.64,4.78,0.5,3.14
 60-70,0,0,0,0,1.87,1.14,0,678.06,0,10.7,1.51,62.57,0,0,0,0.67,0,0,0,0,0,64.13,5.08,3.32,548.61,6.77,10.9,2.81,0,0,10.73,0,0,0,0,0,81.27,0,1.27,6.24,0,7.73
 72-82,0,0,0,0.75,7.45,67.1,0,615.51,0,0,2.92,42.2,1.87,0.5,1.05,0.94,0,0.57,0.92,0.6,0.87,71.94,0.63,3.63,444.51,0,13.25,3.11,0,0,0,0,0,0,3.15,0,31.31,1.67,1.62,4.63,3.15,0
 84-94,0,0,0,0,7.4,33.25,0,531.98,0.91,0.63,2.75,43.74,1.25,3.67,3.68,0,1.16,0,1.29,0,2.3,73.08,5.76,5.34,300.79,3.72,9.29,1.5,0,0,3.84,0,0,1.07,0,0,30.99,0.62,3.88,1.09,1.89,2.71
 96-106,0,0,2.71,0,8.71,89.61,0,415.55,1.19,1.03,2.26,38.92,3.56,0,1.44,3.95,0.94,2.27,3.73,3.32,0,71.56,7.17,5.5,260.3,1.59,7.94,1.49,0,0,6.19,0,0,0,0,0,10.44,0,0,3.6,2.4,2.35
108-118,0,0,0,0,23.28,70.76,0.45,443.7,0.54,0.85,1.88,29.81,1.06,0,0.69,0,4.88,0.43,1.17,0,3.54,73.56,7.78,4.47,319.89,0.41,7.2,2.84,0,1.49,1.19,0,0,0,3.18,0,11.77,0,1.37,3.46,0,0
120,0,0,0,0,23.25,26.11,0,560.2,0,1.55,5.18,31.92,0,0,0,0,0,0,0,0,0,77.98,0,3.65,431.51,2.45,15.36,1.73,0,0,2.54,0,0,1.02,2.42,0,17.59,0,1.95,0,9.25,0
