stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,35.16,0,0,0,0,0,0,0,14.35,0,0,0,0,0,0
 14-21,0,0,0,0,37.83,2.84,0,0,0,0,1.09,2.59,0,0,0,0,0.93,31.04,0,0,33.96,37.29,27.78,0,0,0,23.61,0,3,2.47,2.55,10.89,0,0,0,0
 24-34,0,0,0.84,0,7.05,3.62,0,0,0.97,0,0,0,0,0,0,0,2.63,97.85,0,0,50.5,56.45,37.59,0,3.14,0,12.56,0,0,0,0,9.37,0,0,3.5,0
 36-46,0,0,0.74,0.84,14.9,0,0,0,0,0,0,0,0,0,0,0,7.1,115.55,0,0.89,35.04,57.3,36.17,1.29,4.82,0,21.98,0,0,0.75,0,9.12,0,0,2.08,0
 48-58,0.77,0,0.54,0,17.1,3.76,0,0,1.92,6.83,2.29,0,2.34,0,0,0.8,3.19,214.26,0,4.86,10.44,92.89,22.23,0,2.69,6.44,5.23,0,0,0,0,18.97,0,0,0,0
 60-70,0,0,0.89,0,28.57,11.99,0,0,0,8.44,0.89,0,4.58,0,0,0,4.25,233.18,0,18.03,7.63,97.18,1.69,0,7.34,0,7.7,0,0,0,0,0,1.37,2.36,0,0.61
 72-82,0,0,3.96,0,36.73,13.88,2.66,0,3.07,4.52,0.71,0,0,0,0,0,5.99,215.49,0.66,8.9,5.24,104.92,0.5,0,6.89,4.69,1.73,0,0,0,0,11.27,10.13,1.75,0,9.11
 84-94,0,0,0.84,0,27.81,13.03,1,2.09,0.87,5.74,0,0,0,1.01,0,0,2.73,244.74,0,6.93,2.96,84.47,0,0.9,7.4,0,13.41,0,0,0,0,7,52.55,8.32,1.78,4.88
 96-106,0,0,2.31,0,54.38,12.87,0.57,0,0.85,0.81,3.3,0,0,0,0,0,1.26,194.57,0,3.92,3.5,57.28,0,0,6.04,0,5.58,1.35,0,0,0,1.39,54.82,0,3.18,20.02
108-118,0,0,0.98,0,38.13,16.57,0.49,0,0.78,4.32,4.42,0,0,0,0.63,0,0,161.84,0,11.07,0,42.37,0,0,12.6,3.15,1.65,0,0,0,0,3.48,102.73,5.62,0.57,7.06
120,0,0,3.52,0,41.05,16.83,0,0,3.99,5.28,3.78,0,0,0,0,0,1.34,125.3,0,13.74,0,124.52,0,0,2.56,0,0,0,0,0,0,7.18,44.53,20.85,0,4.54
