stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,304.11,0,0,2.14,0,0,0,0.89,0,4.99,0,0,1.54,0,0,0,4.31,1.09,0,0,5.63,3.99,0,2.06,0,0,2.12,0,1.06,9,0,0,0,0,0
 24-34,0,0,79.49,0,0,18.58,0,0,0,0,0,0,0,0,0,0,1.7,0,79.96,0,0,12.85,106.66,0,0.78,0.77,0,6.59,0,0,0,11.72,0,0,0,0,0
 36-46,0,0,13.97,0,0,18.3,0,4.49,0,4.6,0,0,1.71,0,0,0,4.28,0,334.87,0,0,21.43,199.62,0,5.67,7.42,0,26.89,0,0.6,0,17.09,0,0,0,0,0
 48-58,0,0,6.14,0,0,62.95,0,6.32,0.47,0.96,0,0,2.81,0.47,0,0,11.52,0,445.14,0,2.33,29.36,276.53,0,3.24,46.95,0,16.4,0,0,0,18.56,0,0.61,0,0,0
 60-70,0,0,10.32,0,0,30.91,0,14.9,0,13.09,0,0,0.7,0,0,0,7.98,0,713.47,0,1.68,45.33,295.6,0,0,195.44,0,12.52,0,0,0,11.38,0,0,0,2.44,0
 72-82,0,0,13.51,0,0,135.23,0,10.53,0,43.17,0.75,0,0,0,0,0,0.99,0,1419.07,0,15.98,87.72,728.09,0,0.52,355.23,0,22.8,0,0,0,23.12,0,4.8,1.47,0,0
 84-94,0,0,36.44,6.83,0,116.21,0,9.06,0.81,46.06,2.47,0,0,1.01,6.19,0.96,1.88,0,1269.18,0.64,22.76,50.43,436.39,0,3.49,506.51,17.28,66.43,0,0,0,16.73,0,3.12,0,1.53,0
 96-106,0,0,62,3.02,1.05,171.87,0,23.27,1.03,46.73,7.03,0,3.29,1,0,0,0.66,0,1656.55,1.81,35.19,39.1,689.25,0.82,5.1,734.91,28.68,93.78,0,0,0,18.93,3.75,8.27,0,13.71,0
108-118,0,1.21,101.67,1.55,0.5,169.53,1.3,40.94,4.07,81.77,1.17,0,1.9,1.03,0.43,1.9,5.72,0.7,2443.31,2.27,26.31,79.11,915.83,0,8.05,971.2,2.11,107.24,0,0,0,31.05,0,14.92,1.37,14.84,4.31
120,0,0,77.54,0,0,110.82,3.63,56.7,0,107.75,6.73,0,0,1.11,6.62,0,0,36.5,2294.4,1.56,36.21,21.21,1693.8,0,1.59,652.87,0,44.31,0,0,0,31.78,2.31,55.09,1.26,27.44,0
