stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,4.15,0,0,0,0
 10-12,4.31,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,12.28,0,0,4.36,0,0,0,0
 14-21,0,0,0,0,0,0,0.89,0,1.5,0,0,0,0,0,0,15.81,0,0,0,14.27,0,0,0
 24-34,0,0,0,0,2.54,0.75,0.94,0,0,0,0,0,4.39,0,1.86,75.26,3.97,1.04,0,5.52,0,0,0
 36-46,0,0,0,0,6.25,0,3.55,0,0,0,0,0,9.72,0,1.49,56.18,0.83,0,0,21.35,0,0,0
 48-58,0,0,0,0,54.94,0,2.36,0,0,0,0,0,1.58,0,0.44,39.75,0,0.82,0,1.62,0,0,0
 60-70,0,0,0,0,548.05,0,2.93,0,0,0,0,0,0.92,0,2.14,40.51,0,0.63,0,6.74,0,0,0
 72-82,0,0.5,0,0,610.18,0,11.13,0,0,0,0,0,4.36,0,0.68,75.77,1.58,0.69,0,0.91,0,0,0
 84-94,0,0,2.68,0.83,632.2,0,10.88,0.98,0,0,0,0,4.65,0,9.92,71.14,1.75,2.49,0,4.73,0,0.64,0
 96-106,0,0,3.51,0,623.3,0,19.04,0,0,0,0,0,3.21,1.06,1.44,64.28,0,0,0,9.78,4.97,0,0
108-118,0,0,6.15,0,592.36,0,6.65,0,0,0.54,0.81,1.7,1.84,0,1.78,53.08,0,13.5,0,0,0,0,1.7
120,0,0,0,0,425.32,1.01,21.31,0,0,0,0,0,12.24,0,2.54,86.08,2.2,16.62,0,0,0,0,0
