stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,220.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,306.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.01,0,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.87,0,0,0,30.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,67.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.63,11.22,0,0,36.88,0,0,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,0.96,0.84,0,0,0,0,0.83,0,0,0,0,0,1.83,0,0,2.6,79.75,0,0,0.91,0,0,0,0,3.56,1.16,0,31.56,0,0,0
 24-34,0,0,0,2.56,0,6.45,0,0,0,7.15,0,1.96,0,0,1.67,0,15.96,0,0,8.2,156.02,0,2.78,4.96,0,0,1.14,0,0,0,0.63,45.12,0,2.12,0
 36-46,0,0,0,1.18,0,8.75,0,0,0,19.78,0.58,0,3.57,0,1.17,0,32.2,0,0,1.47,227.79,0.92,0,0,0,0,0,0,0,0.62,0,38.44,0,6.28,0
 48-58,0,0,0,13.15,0,25.1,0,0,0,36.77,0.71,0,0,0,3.44,0,68.3,0,0,1.48,130.32,0,0,1.07,0,0,0,0,0,0,0,69.27,0,1.48,0
 60-70,0,0,0,5.51,0,40.51,0,0,0,25.48,0,0.9,0,0,3.22,0,383.33,0,0,5,86.13,0,0,11.54,0,0,0,0,0,0,0,74.74,0,0,0
 72-82,0,0,0.58,0.54,4.96,49.99,1.33,0.92,14.75,34.93,0.53,4.56,0,0,4.85,0,741.76,0,2.31,17.89,72.46,0,0,3.63,0,0,0,0,0,0,0,35.15,0,0,0
 84-94,0,0,0,5.23,0.72,38.77,0,0,1.12,15.72,0.66,2.24,2.09,2.05,6.36,0,532.63,0,4.61,5.62,45.87,0,0,1.29,0,0,2.77,0,0,3.36,0,23.48,1.79,0,0
 96-106,0,0,0,0,6.1,29.64,0,2.3,1.65,31.55,1.87,4.05,3.83,1.25,4.33,2.67,766,4.41,5.3,6.48,54.59,0.62,0.68,4.02,0,1.6,1.15,0,0,0,0,72.75,2.7,0.57,2.23
108-118,0,0,0,10.02,0,35.3,0,2.05,2.11,41.6,0.85,0,0,0.67,7.62,0,878.93,0,6.39,8.45,57.3,0,6.15,5.64,0,0,3.05,0,0,0,0,18.06,2.64,0,0.91
120,0,0,0,6.81,14.71,31.82,0,0,0,24.67,1.38,6.72,5.72,0,3.22,0,702.9,0,15.84,2.23,98.58,0,0,22.46,0,0,1.14,0,0,0,0,33.69,5.64,15.51,0
