stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,neural,notochord,olfactory,spinal_cord
 14-21,0,0,0,0,0,0,0,0.81,0,0,0.85
 24-34,2.87,0,0.81,0,0,0,0,9.57,0,0,1.44
 36-46,0,0,3.24,0,0,0,0,10.41,0,0,5.78
 48-58,0,0,0.65,0,0,0.46,1.24,12.44,0,0,5.64
 60-70,0,0,5.13,0,0,0,0.81,10.03,0,0,0.94
 72-82,0.77,0,0,0,0,0,0,11.03,0,1.18,1.43
 84-94,2.56,0,0,0,0,0,0,2.24,0,0,0
 96-106,0,2.12,6.01,1.35,1.8,0,0,6.72,0.62,0,0
108-118,0,0,0,0,0,0,0,2.47,0,0.7,0
120,0,0,0,2.63,7.02,0,0,10.14,0,0,0
