stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,1.03,0,0,2.12,0,0,0,0
 24-34,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,55.19,0.63,0,0,2.73,0.68,25.64,0,0,0,0
 36-46,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0.88,0,178.19,3.57,0,0,0,0,56.99,0,0,0,0
 48-58,0,0,0,0,0,20.02,0,0,4.64,0,3.62,0,0,0,2.96,0,0,0,301.39,3.33,0,0,2.15,0,79.84,0,0,0,0
 60-70,0,0,0,6.56,0,108.01,0,0,5.32,0,0,0,0,0,4.76,0,0,4.17,403.09,3.09,0,0,0,0,56.29,0,0,0,0
 72-82,0,0,0,0.58,7.69,250.16,4.54,0,6.74,0,0,0,0,0,7.01,0,0,0.66,723.83,3.35,2.55,0,0.52,0,70.15,0,7.67,0,0
 84-94,0,0,0,5.96,0.86,233.63,0,0.87,24.5,0,0,0,0,0,9.57,8.48,1,0.96,513.07,0,0,0,0,0,95.18,0,4.17,0.63,0
 96-106,0,0,0.88,6.48,4.98,251.72,0,0,43.38,0,0,1.93,2.16,0.71,10.11,0,0,3.89,657.21,8.55,0,0,3.8,0,59.84,0,4.15,0,0.9
108-118,0,0,0.93,2.95,0,326.88,0,0,76.57,0,0,0,4.37,0,15.25,0,0,0.42,685.65,8.05,0,0,0,0,70.73,2.91,0,1.11,0
120,0,0,0,11.7,3.47,337.16,0,0,227.9,6.26,0,0,0,0,22.52,0,8.06,2.81,1599.34,0,0,0,1.59,0,131.92,0,6.95,0,0
