stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,88.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.39,10.11,0,0,51.98,0,7.76,0,0,0,0,0,0,0
 10-12,0,5.21,0,12.6,0,0,0,12.76,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,323.45,10.02,0,0,72.84,0,5.55,4.61,7.87,0,0,3.51,0,0
 14-21,0,0,1.38,0.88,4.37,0.84,0,2.35,0,0,0,2.56,0,0,0,0,0,0,0,0,9.12,0,0,3.04,72.4,3.67,0,0,1.14,0,0,13.57,0,1.26,8.58,15.9,0.93,0
 24-34,0,0,0,0,3.26,0,0,14.99,0,0,0,2.49,0,1.4,0,0.89,0,0,0,0,11.92,0,0,3.88,115,0,3.62,0,0,20.47,0,0,0,0,1.96,21.86,2.2,0
 36-46,0,0,0,0,0.61,0,0,13.62,1.89,8.54,0.64,8.83,0,0,0,0,0.56,0,0,0,8.73,0,0,2.5,98.73,0,0.62,0,0,21.96,0,0,2.15,0,0.96,26.99,1.38,3.68
 48-58,0,0,0,0,4.61,0,0,13.23,1.05,0,0,10.8,2.4,0,0.49,3.66,0,0,0,0,5.23,0,0.79,0,63.78,0.56,0,0,0,9.52,0,0,0.58,0,0,10.23,0,1.47
 60-70,0,0,0,0,0,0,0,42.99,0,0,2.46,12.86,0,0.89,0.83,0,0.61,0,0.74,0,3.97,1.46,0,3.19,32.33,0,0,0.65,0,26.57,0,0,0,0,0,5.02,0,0
 72-82,0,0,0.78,0,2.04,3.86,0,24.08,0,0,0,14.19,2.03,0,0,0.93,0,0,6.24,0,13.42,1.83,0,0,28.86,0,0,0,0,4.9,0,0,0.58,0,0,6.49,0.63,0
 84-94,0,0,0,0,4.51,0,0,31.67,0.69,0.58,0,12.01,0,0,1.45,1.08,2.34,0,1.73,1.92,9.3,0.71,1.27,0,37.59,0,0,2.25,0,14.52,0,0,1.09,0,0,0,2.93,3.54
 96-106,0,0,0,0,4.4,0,0,33.34,0.68,0,0,9.45,0,0,1.37,0,1.2,0.74,0,0,3.78,0,0.76,3.6,30.6,0,3.86,2.34,0,10.47,0,0,0.57,0,0,0.95,3.34,0
108-118,0,0,0,0,3.04,0.88,11.93,29.89,0,0.74,0,12.96,3.88,0,0.44,1.41,0.74,0,1.33,0,7.75,0,0,3.53,28.18,0,0.6,0,0,9.42,0,0,1.61,0.51,0,0.75,0.45,0.98
120,0,0,0,0,19.73,0,5.35,21.94,0,0,0,19.22,7.79,0,5.33,5.36,3.12,0,1.04,0,0,0,0,2.24,51.4,0,0,0,0,26.67,0,0,0,0,0,0,22.38,0
