stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,liver,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.27,0,0,21.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,5.27,0.86,0,0,0
 24-34,0,0,0,3.05,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0.59,1.61,0,0,0
 36-46,0,0,0,16.68,0,0,0,0,0,0,0,0,65.92,0,0,0,0,0,0,0,2.41,0,0,0
 48-58,0,2.59,0,67.27,0,0,5.76,0,0,0.39,4.65,0,84.31,0,0,0,0,0,0,0,8.73,0,0,0
 60-70,0,0,0,355.69,0,0,1.97,0,0,0,0,0,80.34,0,0,0,0,0,0,0,3.6,0,0,0
 72-82,0,0.52,0,899.65,0,0,1.17,2.39,0,0,8.7,0,181.79,1.04,6.14,0,0,1.19,0,0,1.01,0.71,0,0
 84-94,0,2.24,0,1034.12,0.56,0.68,14.38,0,0,0,3.23,3.36,107.54,1.1,0,0,0,1.23,0,0,9.38,0,3.29,0
 96-106,0,3.58,0,1032.11,0,0,13.09,0,0.76,8.03,5.99,0,157.82,0.7,0,0,1.11,3.66,0,0,2.47,0,0,3.5
108-118,0,1.39,0.68,871.02,0,0,22.99,0,0,0,10.01,0,127.68,0,0,0,1.83,0,0,0,0,0,0,0
120,0,2.22,0,1099.8,0,0,31.59,3.53,0,0,8.56,0,235.96,0,0,0,0,0,1.73,0,24.21,0,0,0
