stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.07,16.6,5.37,0,6.25,0,0,0,3.66,0.85,0,0,0,0,0,0,1.13,14.68,0,0,10.89,143.78,1.84,0.89,3.05,0.85,0,1.54,0,18.72,0.9,1.28,17.03,54.66,0,0,2.17,0,6.72
 24-34,0,0.7,12.57,0,0,23.81,0,3.34,1.41,13.77,2.05,2.79,0,2.17,0,0.65,0.84,4.63,54.29,0,0,21.36,534.79,7.99,6.21,3.14,0,0,10.49,0,0,3.68,0,9.44,131.04,0,0,18.63,0,33.27
 36-46,0,0,8.22,0,0,73.26,0,0,3.01,31.23,0.56,0,0,0,0,2.45,0,11.88,51.74,0,0,8.55,823.14,1.56,11.8,2.29,0,0,43.81,0.81,0,7.38,0,0,147.86,0,0,6.46,0,33.55
 48-58,0.42,0,14.25,0,0,153.05,0.39,0,1.92,71.49,0,2.91,0,0.81,4.5,0.54,0,5.75,76.51,0.97,2.84,7.94,821.61,16.1,2.85,2.09,0,0,10.89,0,0,0,2.31,0,140.14,0,0,3.02,0,44.55
 60-70,0,0,10.43,0,0,313.09,0,4.39,3.87,80.64,0,1.31,4.86,0,4.57,3.2,0,4.07,115.97,0,2.02,5.02,906.58,0,4.2,17.99,0,0,5.6,0,0,3.17,1.33,0,89.74,0,1.75,4.54,0,39.72
 72-82,0.53,0.75,7.76,11.29,0,288.39,0.69,0,4,77.67,1.6,0.66,2.89,0,0,3.12,3.1,1.14,89.34,0.93,3.71,5.49,612.54,0.56,6.6,4.64,0,0,4.91,0,0,0,0,0,53.34,0.53,2.17,17.05,2.17,22
 84-94,0.66,0,12.48,10.75,0,227.28,0.56,2.42,3.12,53.99,8.91,0.85,2.27,3.64,1.42,4.88,0,0,94.77,0,5.57,4.48,356.02,3.11,0,6.19,0,0,30.57,0,0,0,2.12,0,29.07,4.28,5.69,2.41,4.12,13.04
 96-106,1.15,0,17.6,40.48,0,166.24,0,8.39,14.65,29.48,3.29,2.3,3.77,0,1.6,0.84,0.82,0,69.79,2.99,3.44,1.17,290.76,0,2.99,5.86,0,11.09,15.68,3.39,0,0.57,0,0,6.63,2.08,2.83,3.85,2.21,6.53
108-118,1.13,0,9.33,8.63,0.75,144.2,0,2.74,0,28.11,7.08,0,1.08,0.62,9.01,3.2,1.77,4.82,92.7,0.88,0,1.2,289.46,4.88,2.75,10.85,0,0,15.43,0,0,0.72,0,0,8.04,0,0,8.54,2.59,13.54
120,0,0,18.13,4.1,1.6,131.91,1.99,2.67,1.56,88.42,8.55,0,8.92,1.07,8.34,3.86,0,0,109.63,0,18.32,6.97,666.21,7.98,1.11,4.21,0,0,13.97,0,0,0,0,0,21.68,0,3.84,8.93,0,0
