stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,19.8,229.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.79,292.94,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73,0,0,0,0
  7-9,4.07,4.5,5,0,0,20.26,0,3.82,0,0,0,0,179.96,0,87.04,0,0,0,0,0
 10-12,0,0,20.84,0,4.74,9.42,0,0,0,0,0,0,119.89,3.39,35.06,0,4.56,0,0,0
 14-21,0,0,0,1.33,0,0.89,0,0,1.01,0,0,1.05,2.99,0,0,0,0,0.83,0,0
 24-34,0,0,0,0,0,1.2,0,0,0,0.73,0,0,7.93,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.71,0,0,0,0,0,0,2.06,0,0,1.03,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.23,0,0,14.29,0,0,0,0,0,0.58,0
 60-70,0,0,0,0,0,1.07,0.91,0,0,0,5.65,8.34,1.31,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.75,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.84,0,0,0,0,0,0.94,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
108-118,0,0,0,0,0,1.72,0,0,0,0,0,0,1.15,0,0,0,0,0,0,1.16
