stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,6.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,4.83,0,0,0,0,0,0,0
 14-21,0.8,7.57,0,0.9,0,0.84,0,0,0,0,0,0,0,2.23,0,0,12.82,0,0,0,0,0,11.31,0.81,2.37,0,0,0
 24-34,0,1.85,0,1.34,0,0,0,0.85,0.67,0,0,0,0,3.9,0,0,36.27,0,2.6,0,0,0,16.12,0,14.93,0,0.72,0
 36-46,0,1.75,0,9.95,0,2.42,0,0,0,0,0,0,0,19.88,0,0,78.9,0,0,2.64,0,0,7.18,0,13.79,0,0,0
 48-58,0,0,0,18.07,0,0,0,0,0,0,0,0,0,1.5,0,0.71,69.51,0.88,3.98,0,0,0.56,11.59,0,9.87,0,0,0
 60-70,0,2.64,0,28.08,0,1.59,7.86,0,0,0,0,0,0,1.8,0,0,114.81,0,0,0,0,0.71,13.68,0,8.9,0.61,0,0
 72-82,0,0.94,1.3,25.11,0,4.52,0,0,0.59,0,0,0,0.62,1.4,0,0,62.79,0,1.18,0,0,0,0.76,0,4.23,0,0,0
 84-94,0,0.67,0,17.31,0,2.99,3.39,0,0,0,0,0,0,0,0.57,0,37,0,0,0,0,0,5.65,0,8.64,0,0,0
 96-106,0,1.07,3.16,7.57,3.26,1.35,0,0,0,0,0,1.33,0,0,0,0,53.87,0,0,0,0,0,26.71,0,0,0,0,2.52
108-118,0,2.6,2.36,37.6,0,0,0.89,0,0.6,0.67,0,0,0,2.27,0,0,43.21,0,1.61,0,0,0,20.25,0,1.22,0,0,0
120,0,0,0,31.17,0,0,0,0,0,0,1.18,1.74,0,0,0,0,45.12,0,0,0,0,0,3.28,0,13.4,0,0,0
