stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.83,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.61,0,0,6.56,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.99,0,0,0,1.03,0,0,0,0,3.19,0,0,0,0
 24-34,0,0,0,0,0,0,1.09,0,0,0,2.34,0,0,0,1.79,0,1.16,0,0.76,0
 36-46,0,0,0,0,0,0,0.91,0,0,0,4.97,0,0,0,0,0,0.99,0,0,0
 48-58,0,0,0,0.5,0,0,0,0,0,0,1.87,0,0,0,0,0,0.62,0,0,0
 60-70,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.72,0,0,0,0,0.58,0,1.97,0,0,0,2.85,0,0,1.48,0,0.63
 84-94,0,1.7,0,0,0,2.59,0,0,0,0,4.21,0,0,0,0,0,1.23,34.02,0,0
 96-106,0,0,1.56,9.15,0,0.89,0,0,8.2,1.04,3.76,0,0,0,0,0,0,193.09,0,0
108-118,0,8.67,0,7.04,0,0,0,2.46,5.1,0.51,10.16,1.02,5.1,0,0.85,0,0,305.27,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.24,0,0
