stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,9016.58,50739.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448.72,0,0,0,0,0,0
  5-6,17673.98,32472.17,13.2,0,0,0,0,0,0,264.64,0,0,0,0,361.64,2907.02,21.94,0,1262.92,0,0,0,0,0,0
  7-9,11400.1,467.46,729.37,0,0,405.28,0,0,0,718.32,0,0,0,0,9874.06,15804.01,5234.61,0,92.35,126.46,0,0,0,0,0
 10-12,71.91,118.35,48.42,0,0,871.89,0,0,0,7.64,0,0,0,0,5902.55,11901.07,6271.79,0,10.14,9.77,0,15.94,0,11.66,0
 14-21,0.89,0,0,32.86,7.72,252.78,0,28.25,6.88,0,1.1,0,17.8,1.52,1241.54,2742.14,775.89,0,1.09,0,30.77,1.3,27.83,1380.19,1.07
 24-34,0,0,0,0,0,211.42,0,37.48,0,0,0,0,0.72,0,333.93,139.03,0,0,1.07,0,0,0,2.07,21.58,0.6
 36-46,0,0,0,0,0,59.92,0,5.66,0,0,0,0,2.35,1.1,121.79,28.11,0,0,0,0,0,0,0,9.74,4.21
 48-58,0,0,0,0,0,97.76,0,1.44,0,0,0,0,0.48,0,67.38,0.8,0,0,0,0,0,0,0,4.78,0
 60-70,0,0,0,0,0,21.02,0,1.93,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,2.92,0
 72-82,0,0,0,0,0,55.38,0,2.6,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.5,0,81.86,0,1.73,0,0,0,0,1.52,0,3.34,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,70.37,0,1.41,0,0,0,1.04,1.17,0,4.98,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,75.07,0.67,3.21,0,0,0,0,0.78,0,10.87,0,0,2.89,0,0,0,0,0,0,0
120,0,0,0,2.61,0,12.86,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
