stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0.83,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.64,0,1.41,0,0,0.64,2.05,0,0.64,0,0,0
 36-46,0.64,0,0,0,0,0,0,1.7,0,24.02,5.49,0,0,7.27,0,0,0,0,0
 48-58,0,0,6.85,0,0,0,0,7.5,0,14.06,0,1.14,0,0,3.46,0.8,0,1.79,0
 60-70,0.99,0,2.17,2.09,1.91,0,0,10.38,0,8.49,0,0,0,0,0,4.22,0,0,0
 72-82,0,0.51,9.59,0,0.56,0,0,18.4,0.57,16.93,0,0,0,0,0,0,0.9,1,0
 84-94,0,6.09,5.94,0,0,1.56,0,15.2,2.24,11.81,0,0,0,2.59,0,0,0,0,0.89
 96-106,0.8,13.69,2.67,0,0,0,1.05,4.36,0,15.07,0,0,0,2.38,0,0,0,0,0
108-118,0.61,0,6.48,0,0,0,0,7.99,0.98,11.92,0,0,0,1.13,0,1.14,0,0,0
120,0,0,19.86,0,0,2.78,0,2.9,0,4.24,0,0,0,0,0,0,0,0,0
