stage,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0
 14-21,0.98,0,0,0,0,0,1.41,3.39,0,0,3.92,0,0,1.06,0,4.24,0,0
 24-34,0,0,0,0,0,0,0,1.71,0,0,5.43,0,0,0,2.96,3.58,1.81,0
 36-46,0,2.32,0,0,0,0,0,0,0,2.27,6.04,0,0,0,0,1.35,0,0
 48-58,0,2.36,0,0.38,0,0,0,0.83,0,0.73,2.26,0,0.82,0,0,0,0,2.34
 60-70,0,0.73,0,0,5.01,0,0,4.08,0.7,0,22.68,0,0,0,0,1.92,0,0
 72-82,2.88,0,0,0,4.47,0,0,0.58,1.43,0.95,0,0,0,0,0,0.79,0,0
 84-94,0,0,0,0,4.56,0.77,0,2.34,0,1.14,0,0,0,0,0,0,0,2.83
 96-106,0,1.39,0,0,0,0,0,1.06,0,0,0,1.2,0,0,0,0,3.16,0
108-118,0,4.34,0.43,0,0.44,0,0,2.1,2.32,0,2.85,0,3.91,0,0,0,0,0
120,0,0,0,0,13.79,0,0,3.54,0,0,1.67,0,0,0,0,0,0,0
