stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,neural,paraxial.mesoderm,periderm
  3-4,11.51,331.6,0,0,0,0,0,0,12.53
  5-6,0,231.23,0,0,0,0,0,0,14.39
  7-9,0,0,0,0,9.21,0,32.81,0,0
 10-12,0,0,11.65,0,0,0,27.94,11.85,0
 36-46,0,0,0,0,0,0,0,0,0.73
 84-94,0,0,0,1.62,0,0,0,0,0
 96-106,0,0,0,1.32,0,0,0,0,0
108-118,0,0,0,0.72,0,0.47,2.51,0,0.82
120,0,0,0,0,0,0,2.91,0,0
