stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,53.57,723.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.4,1175.16,8.02,0,0,0,0,0,0,0,0,49.11,0,0,7.11,9.25,0,0,0,0,0,0
  7-9,23.52,10.49,31.61,0,0,86.43,0,31.77,0,0,0,767.1,22.83,0,192.31,0,0,0,0,0,0,0
 10-12,0,15.97,54.62,0,5.18,62.62,0,3.97,0,0,3.87,503.61,21.16,0,130.33,4.33,0,28.97,0,0,0,0
 14-21,0,0,0,1.9,0,1.52,0,0,0,0,0,2.7,0,0,0,0,0.98,0.81,0,1.09,4.74,0
 24-34,0,0,0,3.1,0,1,0,0,0.75,0,0,4.73,0,1.21,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0.83,0,0,0,0,0.69,0
 48-58,0,0,0,0,0,0.7,0,0,0.39,0.44,0,0.98,0,2.85,0,3.79,0,0.65,0,0,0.5,0
 60-70,0,0,0,0.78,0,0,0,0,0,0,0,3.83,0,0,0,1.1,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.92,0,0,0,8.62,0,3.3,0,0,0,0,0,0,0,0,0,0.71
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,1.46,9.21,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,2.5,0,3.64,0,0,0,0.79,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0
