stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,46.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.59,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.68,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,9.71,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.47,0,0,0,0,0,0,0,0,0,32.41,0,0,0,0,0,0,0,0,0,5.98,3.99,0,0,8.59,0,0,0,4.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.13,31.13,59.65,0,16.59,0,0,0,0,0.84,0,0,0,0,0,0,0,8.64,0,6.01,18.42,3.39,0,0,0,0,0,2.74,0,1.91,5.71,13.51,0,0,88.78,0,0
 24-34,0,0,0,0.71,14.62,4.13,0,114.51,0,0,0,0,3.07,0,15.83,0,0,1.57,0,0,10.84,0,2.08,31.38,3.39,0.77,0,0,0,1.59,0,0.79,0,6.21,9.93,0,0,561.08,0,11.64
 36-46,0,0,0,0,5.83,0.58,0,115.53,7.77,0,0,2.94,0,0,11.45,0,0,0,0,0,23.94,2.93,5.58,37.98,0.7,0,0.58,0,0,0,0,0,0,0,5.42,0,0,519.7,0,0
 48-58,0,0,0,0,4.09,0,0,105.31,6.82,0.39,0.38,3.07,0,0,13.44,0,0,0,0,0,23.3,4.73,10.72,46.06,2,1.12,1.09,4.77,0,2.49,0,1.58,3.89,0,9,0,0,427.54,0,0.48
 60-70,0,0,0,0,18.82,0,0,99.25,11.53,0,2.44,7.12,0,0,34.98,0,0,0,0,0,59.97,0.95,29.89,58.92,0.67,0,5.56,0,2.07,0,0,2.82,8.04,0,1.5,0,9.79,308.09,0,0
 72-82,0,0,0,0,7.25,0,0,52.21,28.36,0,1.14,18.81,0.56,0,22.66,12.16,0,0,0.96,0,82.21,10.24,24.15,71.73,0,1.28,5,0,9.37,0.94,0,1.48,3.73,0,0.63,4.44,4.45,543.05,2.18,2.33
 84-94,0,0,0,0,11.14,0,0,89.66,14.85,0,2.98,4.84,0,0,14.57,1.26,0,0.62,0,0.95,73.62,6.86,13.35,59.66,0,0,8.17,0,7.18,2.03,0,0.77,9.59,0,0.86,2.23,5.15,403.1,0,0
 96-106,0,0,0,0,16.96,1.56,0,65.42,33.19,0,1.12,33.79,0,0,25.87,2.51,4.05,0,0,1.06,40.3,2.38,8.48,39.1,0,2.73,4.37,1.2,6.78,0,0,8.16,4.1,0,0,3.16,5.53,396.71,5.07,0
108-118,0,0,0.94,0,22.02,11.6,3.59,50.14,28.32,1.46,0,14.12,2.62,0,18.44,4.17,0,0,1.97,0,53.85,0.63,25.08,48.47,0,0,1.71,8.11,4.92,1.26,0,3.85,2.65,0,0,6.43,6.21,303.59,0.68,0
120,0,0,0,0,6,0,0,50.62,16.25,0,0,32.67,0,0,9.61,3.15,0,0,0,0,19.55,7.98,32.64,59.35,0,0,5.44,19.84,0,0,0,1.44,4.96,0,0,5.08,0,369.69,0,0
