stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.12,289.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55,0,8.27,0,0,0,0,0
  7-9,0,0,20.05,0,0,11.89,0,0,0,0,0,0,0,0,0,113.33,7.1,0,27.13,0,0,0,0,0
 10-12,0,0,6.79,0,0,0,0,0,0,7.97,0,0,0,0,0,98.54,0,0,24.46,0,0,0,9.29,0
 14-21,0,0,0,3.04,1.08,0,0,0,0,0,1.15,0,0,0,0,6.48,0,0,0,0,0,0.89,0,0
 24-34,0,0,0,1.98,0,0.62,0,0,0.92,0,0,0,0,0,0,1.55,0,0,0,2.6,0,0,1.31,0
 36-46,0,0,0,1.31,0,0,0,0,0,0,0,0,2.39,0,0,6.85,0,0,0,0,0,0,0.63,0.59
 48-58,0,0,0,5.3,0,8.2,0,0,0.41,0,0,0,0,0,0,3.26,0,0.38,0,5.67,0.37,0,2,0
 60-70,0,0,0,1.07,0,1.29,0,0,0,0,0,0,0.85,1.02,0,3.48,0,0,0,3.65,0,0,0,0
 72-82,0,0,0,0.69,0,0,0.65,1.87,0,0,0,1.68,0,0,0,1.58,0,0,0,1.18,0,0,0,0
 84-94,0,0,0,2.35,0,0,0,0,0.82,0.86,1.32,0,2.59,0,2.09,0,0,0,0,6.59,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,1.76,0,4.45,0,0,0,0
108-118,0,0,0,0.52,0,0,0.45,1.9,0.95,0,0,0,3.71,0.53,0.49,2,0,0,0,1.08,0,0,0,0
120,0,0,0,1.36,0,0,1.06,0,0,0,0,0,0,0,0,17.79,0,0,0,8.69,1.56,0,0,0
