stage,axial,blastomeres,epidermis,eye,immune,mesenchyme,neural,paraxial.mesoderm,pgc,vasculature
  3-4,0,25.39,0,0,0,0,0,0,0,0
  5-6,9.29,16.72,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.25,4.96,0,0
 10-12,0,0,0,0,0,0,0,0,3.03,0
 14-21,0,0,0,0,0,1.04,0.94,0,0,0.93
 24-34,0,0,0,0,0,2.13,1.29,0,0,0.73
 36-46,0,0,0,0,0,0,4.84,0,0,0
 48-58,0,0,0,0,0,0,0.45,0,0,0
 60-70,0,0,0,0,0,0,2.12,0,0,0
 72-82,0,0,0.68,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.65,0,0,0,0,0
108-118,0,0,0.61,0,0,0,0,0,0,0
120,0,0,0,12.59,0,0,0,0,0,0
