stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0.9,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,96.2,0,2.02,0,0,0,0,1.61,0,0,1.06,1.34,0,0,0,0,0
 24-34,0,0,4.24,0,0,0.66,0,0,0,0,0,0,2.38,0,0,26.19,1.38,0,3.17,0,0,0.78,194.07,2.11,9.15,23.26,0,0,1.6,0,0,1.16,0,7.1,0,0,1.32,0,0
 36-46,0,0,2.04,13.46,0,0,0,0,0,0,0,0,2.33,0,0,20.51,0,0,2.54,0,0,11.56,143.69,3.68,2.66,1.67,0,0,3.19,0,1.34,0,0,15.18,0,0,16.47,0,0
 48-58,0,0,6.61,0,0,46.89,0,0.47,0,4.33,0,0,21.81,7.03,0,23.12,0,1,15.27,0.46,0,20.65,266.61,0.58,4.25,6.07,0,0,0.38,0,0,0,0,14.56,0,0,14.25,0,0
 60-70,0,0,2.11,0,0,20.63,0,0,1.48,27.99,0,0,110.73,0,0,34.74,0,0,6.89,0,0,11.4,183.64,0,0.92,0,0,0,2.31,0,0,0,0,4.99,6.29,0,5.74,0,3.65
 72-82,3.45,0,11.55,4.25,0,47.88,0,0,0,136.92,2.08,1.34,337.73,5.75,0,58.49,0,0,69.54,0,0,11.48,548.02,0,4.15,3.13,0,3.01,5.63,0,0,0,0,8.63,23.62,1.44,16.5,1.05,3.9
 84-94,0,0,22.99,0,0,39.98,1.44,0.74,0,139.98,28.17,0,449.12,1.73,0,38.93,0,0,26.79,2.44,1.41,7.39,416.1,0.63,1.25,3.78,0,1.53,16.38,0,0.74,0,0,11.74,98.71,0,48.31,4.9,0
 96-106,5.89,0.63,45.62,7.54,0,40.76,7.2,6.6,0,75.4,4.14,3.87,672.21,12.2,5.57,52.73,6.34,0,65.64,0.8,1.41,33.44,449.78,0,0.78,46.07,0,0,10.99,0,0,0,0,0,141.06,0,30.5,2.04,3.34
108-118,0,1.01,42.05,11.02,0.45,31.91,0,3.73,3.14,164.08,4.92,0.61,1060.77,4.61,0,48.31,0.87,0,96.88,1.08,0,14.6,669.01,0.44,5.92,19.78,0,0,13.18,0,0,0,0,2.2,311.56,0,31.08,2.85,0
120,3.29,0,204.66,11.92,3.77,68.6,0,3.01,6.64,394.5,6.69,0,2836.58,11.46,0,147.98,1.34,0,199.23,0,0,44.51,1112.34,1.81,7.28,19.05,0,0,33.34,0,0,6.93,0,17.56,155.02,0,76.7,0,0
