stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.98,0,0,0,0.88,0,0,0,0,2.69,0,1.2,1.03,0,1.11,0,1.96,0,0.83,0,0,0,0,0
 24-34,0,0.61,1.04,0,0,0,0,0,0,0,0,8.45,0,2.26,5.55,0,0,0,0,0,0,3.25,0,16.7,0,0.89
 36-46,0,0,0,0,0,0,0,0,0,0,0,11.32,0,2.83,0,0,0,0,0,0,0,0,0,0.73,0,0
 48-58,0,0.82,0.81,0.58,0,0,0,6.35,0,0,0,16.81,0,3.09,19.5,0,0,0.53,0,0,0,1.39,0,1.12,0,0
 60-70,0,3.16,0,0,0,0.67,1.21,3,0,0,0,44.86,0.89,9.32,4.84,0,0,8.27,0,0,0,0,3.2,0.92,0,1.29
 72-82,0,0,0,1.7,0,0,1.4,0,0,0,0,32.33,1.31,4.67,5.41,0.56,0,0,0,0,0,0,0.81,1.56,0.94,0.52
 84-94,0,0,1.49,0,0.83,1.52,1.7,1.14,0.97,0,0,57.02,9.14,0,1.37,0,0,0,0,0.74,0,0,2.16,2.42,0,4.7
 96-106,0,0,2.18,0,0.59,1.69,5.52,4.25,0.75,0,0,18.59,0,2.5,0.77,0,0,0.97,0,0,0,0,0,1.52,0,0
108-118,0,0.42,0,0,0,0,0,1.1,0.92,0.95,0.91,64,7.87,10.68,11.41,0,0,8.71,0,0,0,0,2.82,1.46,0,1.16
120,0,3.12,0,0,0,0,0,3.83,10.1,0,0,85.99,0,0,1.17,0,0,0,0,0,0,0,0,1.48,0,0
