stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,17.37,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,15.12,230.23,27.37,0,0,0,1.18,0,0,30.9,0,0.82,0,0,28.98,0,0,3.21,27.72,78.17,0,0.99,0,1.46,17.47,2.7,3.96,4.31,4.76,0,0,81.5,0,2.62
 24-34,0,0,1.28,31.71,4.98,98.6,0,6.03,0,3.41,0,0,32.36,0,0,0,0,16.43,0,0,7.43,29.99,59.86,0,0,0.99,0.77,0,8.3,2.22,2.15,6.34,0,0,224.02,0,0
 36-46,0,0,0,14.08,0,76.38,4.51,8.85,0,1.46,0,1.26,25.1,0.98,0,0,0,23.69,0.58,0,2.19,60.27,34.8,1.29,0,0,2.85,0,18.17,3.54,0,6.94,0,0,113.59,0,0
 48-58,0,0,0,10.52,4.9,85.79,3.15,11.24,0,0.51,0,0.37,24.67,2.65,0,0,0,23.02,3.15,0,0.38,24.9,27.77,0,0,0,2.15,0,0.51,0.76,0,5.8,0,0,80.64,0,2.41
 60-70,0,0,0,9.23,0.82,91.22,0.94,23.96,6.75,2.46,0,0,36.43,2.13,0.58,0,0,47.37,6.89,0.7,11.91,22.7,12.34,0.89,0,0,0,0,4.75,0.74,0,1.76,0,8.96,75.27,0,0
 72-82,0,0,0,0.52,4.17,145.12,1.53,7.46,1.1,3.43,1.1,0.6,30.42,1.15,0,0,0.59,100.79,0,0,0.63,32.96,13.14,0.74,0,2.48,0,0,0,0,0,3.11,0,0,178.93,0,2.33
 84-94,0,0,0,2.51,15.26,197.64,0.79,2.73,0,2.92,0,1.84,14.91,7.54,2.4,0,0.66,71.69,3.85,2.78,0,1.35,33.09,0.83,0,0,0,0,4.34,0,0,0,0,0.59,171.73,0,0
 96-106,0,0,1.75,3.5,9.89,211.19,2.44,2.05,2.83,8.1,0,0,47,0.93,0,2.73,1.53,62.05,8.62,4.72,0,30.1,13.82,3.84,0,2.17,0,0,0.89,0,0,0,1.68,2.68,199.57,0.76,0
108-118,0,0,0,6.77,11.05,225.24,0.55,5.41,0,7.34,0,0,24.77,2.66,0,1.44,3.88,66.16,0,8.47,3.01,24.1,15.69,0,0,8.52,5.12,0,3.96,0,0,2.79,0,0,187.44,0,2.03
120,0,0,0,3.43,5.2,209.91,0,4.2,8.03,8.42,1.12,0,58.73,11.6,4.81,3.57,0,38.06,1.65,0,1.13,16.43,49.43,0,10.96,0,0,0,5.76,0,0,0,1.39,7.04,150.8,0,0
