stage,axial,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,7.76,0,0,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,1.2,0,0,0,0,0,0,0,0,0,0,1.11,5.95,0,2.71,0,0,0,0,2.17,7.63,0,0
 24-34,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,2.23,0,0,0,0,0,0.68,0,0
 36-46,0,0,0,0,1.32,0,0,0,0,0,0,0,2.67,0,1.97,16.54,0,0,0,2.37,0,0,0,2.62,0,0
 48-58,0,0,0,0,0,0.94,0.53,0,0,0,0,0,2.8,0,1.39,0.92,0,0,0,0,0,0,0,0.46,0,0
 60-70,0,0,0,0,0.8,0,0.85,0.68,0,0.92,0,0,2.84,0,0,4.37,0,0,0,0,0,0.62,0,0,0,0
 72-82,0,0,0,0,0,0,0.76,0,0,0,0,0,11.32,0,0.71,2.75,0,0,0,2.16,0,0,0,0,3.77,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.73,4.66,0,0,0,0,0.83,0,0,0,0,0,0,1.46,0
 96-106,0,0,0.61,0,0,1.88,0.99,0,0.87,0,0,0,8.81,0,0,3.41,0,0,1.99,2.12,0,0,0,0,4.63,0.83
108-118,0,0,2.61,0,1.73,0,0,0,0,0,0.6,0,11.36,5.56,1.29,3.71,0,0,0.99,1.55,0,0,0,0,11.46,0
120,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0
