stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,23.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 36-46,0,0,0,131.99,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,1.26,0,0,0,0,0,0,0
 48-58,0,0,0,895.34,0,0,0,0.62,0,0,4.19,0,0,2.61,0.58,0,0,0,43.94,0,0,0,8.26,0,0,0
 60-70,0,4.75,0,2309.31,0,0,0,1.47,0,0,1.94,0,0,0,0.81,0,0,1.24,26.97,0,0,0,10.23,0,0,2.72
 72-82,0,1.28,0.59,1406.34,0,0,0,5.46,0,0,0,0.89,0,0,6.21,0,0,0.83,49.8,1.42,0,0,3.41,0,1.58,0
 84-94,0,2.35,0,1529.55,1.52,0,0,2.61,0,4.19,0,0,0,3.36,5.38,0,1.16,0,29.84,0,0,0.69,2.55,1.08,0,0
 96-106,0,1.38,8.83,929.15,0,0,0,2.54,0.74,0,0,0,0.66,0,3.14,0,0,1.81,9.8,0,0.9,0,1.23,0,0.64,0
108-118,3.02,0.46,2.18,846.38,0,2.3,1.28,2.37,0.55,0,0,0,0,0,5.01,1.47,0,1.02,28.1,0,1.46,0,0,0,0,0
120,0,2.62,0,713.1,0,3.55,0,0,0,0,0,0,8.53,3.76,7.85,0,0,0,85,0,0,0,0,0,0,0
