stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,327.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.71,377.94,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.81,14.47,0,0,9.5,0,0,0,0,0,0,0,0,0,0
  7-9,14.88,23.79,20.15,0,0,0,27.58,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,397.69,12.94,0,0,103.35,0,3.26,8.66,0,0,0,0,0,0,0
 10-12,0,12.77,6.71,0,0,0,13.28,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,195.85,3.99,0,0,98.79,0,0,11.92,0,0,0,0,0,0,0
 14-21,0,0,2.26,3.88,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,3.1,29.62,0,0,0,0,0,2.59,0,1.12,0.82,13.46,0,0,0,0
 24-34,0,0,0,2.98,0,0,4.48,0,0,0,0,0,0,0,0,0,0.65,0,6.7,0,0,4.41,94.73,12.17,0,0,0,0,2.28,0,0,0.85,31.07,0,2.31,0,0.6
 36-46,0,0,0,1.36,0,0,18.18,0,0,0.73,0,0,0,0,0,1.09,0,2.27,12.76,0,0,2.64,70.36,0.57,3.32,0.7,0,0,0.76,0,0,0,11.71,0,0.65,0,0
 48-58,0,0,0,3.16,0,0,44.35,0,0,8.36,0,0,0,0,0.92,0,0,9.38,8.6,0.46,0,0.91,32.63,0,0,0.4,0,0,2.84,0,0,0,8.1,0,4.41,0,0.5
 60-70,0,0,0,4.27,0,0,31.75,0,0,0,0,2,18.36,0,5.39,0,0,3.17,6.12,0,0,0.67,28.55,1.76,0,0,0,0,2.33,0,0,0,0,0.59,0,0,0
 72-82,0,0,0,0.98,4.31,0,8.89,0,0,1.43,0,0,0,0,0.72,0,0,0.49,2.53,0,0,0,39.64,0,0,2.64,0,0,4.36,0,0,0,0,0,5.08,0,0
 84-94,0,0,0,2.4,0,0,10.46,0,0,0,1.73,0,1.79,0.68,0,0,9.04,28.72,3.54,0,0,0.87,4.62,0,0,0,0,1.01,8.48,0,0,0,1.5,0,6.97,0,0
 96-106,0,0,0,1.19,0,0,3.28,1.53,7,4.06,0,0,0,0,0.58,0,0,6.84,3.68,0,1.53,0,8.96,0,0,0,0,0,35,0,0,0,0,0,2.11,2.91,11.61
108-118,0,0,0,2.31,0,9.5,14.13,0.97,0,2.93,0.48,0,2.05,0,3.01,0.89,1.5,17,11.04,2.74,0,0.76,17.03,0,0,0,0,11.42,10.72,0,0,0,0.44,0,2.77,0,10.15
120,0,0,0,9.22,0,1.89,1.48,4.59,1.98,3.46,6.22,0,0,0,2.62,0,0,7.5,2.86,0,0,0,6.67,0,17.2,3.45,0,0,16.7,0,0,0,2.54,0,0,0,5.97
