stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,4.16,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,3.1,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,18.34,0,0,0,0,0
 24-34,3.05,2.4,0.85,0,0,0,0,1.86,0,0,0,3.17,0,0,0.6,8.23,0,0,123.08,0,4.2,0,0,1.49
 36-46,4.07,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,16.81,0,0.59,150.63,0,5.07,0,0,0
 48-58,4.9,0.59,1.2,0,0,0,1.91,0,0,0,0,0,3.9,0,0.51,14.83,0,0.44,154.79,0,1.06,0,0,0
 60-70,0.78,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,1.67,163.33,0,0,0,0.63,0
 72-82,2.35,2.84,1.26,0.95,1.01,0,0,1.18,0,0,0,2.7,1.15,1.09,0.53,5.09,0,0.56,104.26,0,0,0,0.66,0
 84-94,18.93,0,1.68,0,0,0.72,0,4.68,0.78,0,0,0.98,3.63,0,1.47,3.01,0,1.86,367.51,0,0,1.83,0,0
 96-106,25.34,2.25,1.94,0,1.89,0.62,0,1.47,0,9.82,0,4.49,4.62,0,0.9,13.62,0,3.53,246.91,0,0,0,0,0
108-118,21.43,10.77,1.87,0,0,1.83,0,3.45,0.51,0.6,0.75,3.05,2,0.74,0,9.63,0,2.56,217.22,0.49,3.93,3.2,0,0
120,51.29,0,3.48,0,0,0,0,0,0,0,0,6.93,2.93,0,0,10.02,0,3.49,215.37,0,0,0,0,0
