stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature
 14-21,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.88,3.88,0,0,0,0,5.29,0,0
 24-34,0,0,0,0,1.13,0,0,0,0,0,0.85,0,1.75,0,12.73,0,0,0,1.2,1.52,0,1.12
 36-46,0,2.21,0,0,0.7,0,0,0,0,0,0,0,5.12,0,20.12,3.36,0,0,0,1.61,0,0
 48-58,0,0,0,0,1.84,0,0,0,1.2,0,6.78,1.04,0.49,0,12.68,0,0,0,2.93,0,0,2.7
 60-70,0,0.6,0,0,12.59,0,0,0,0,0,0,0,1.06,0,2.28,0,0,5.85,0,0,0,0
 72-82,0,1.06,4.57,0,28.57,0.53,0,0,4.61,0,0,0,1.39,1.34,24.43,0,0,0,0.56,4.71,0,4.26
 84-94,0,8.63,0,0,10.35,0,0,0,0,0,0,0,2.47,0,10.05,0,0,0.55,5.79,0,0,0
 96-106,0,3.08,0,0,2.56,0,0,0,3.04,0,0,0,0.57,0,2.74,0,0,0,12.31,0,0.87,0
108-118,0.41,0.95,0,4.06,9.51,0,1.07,0,0.55,0.62,0.94,0,2.62,1.39,4.97,0,0.59,0,9.62,0,0,0
120,0,0,0,0,3.71,0,0,1.26,1.59,0,0,0,2.83,0,15.6,0,0,0,1.56,3.5,0,0
