stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0
 14-21,1.24,1,0,0,0,0,0,0,0,0,0.86,0,0,1.06,3.68,0,0,0,0,0,0.87,1.7,1.16,0,0,0
 24-34,0,5.34,3.55,0,0,0,2.96,0,0,0.63,1.4,3.27,0,3.06,12.49,0,1.47,0,0,14.52,0,1.16,0.81,0,1.62,0
 36-46,0,2.8,1.88,0.76,10.08,0,0,6.77,0,0,0,1.26,0,1.4,1.86,0,0,0,0,25.97,0,0,0,0,0,0
 48-58,0,0.89,11.33,1.91,0,2.55,0,0,0,0,0,14.68,2.92,0,24.32,4.08,0,0,0,10.76,0,0,0,0,0,0
 60-70,0,4.76,0.87,0.64,0,0,4.08,0,0,0,0,8.7,2.49,0,8.48,0,0,0,0,18.35,0,0,0,0,0.95,0
 72-82,0,0.55,3.6,0,2.27,0.87,0,0,0.66,0,0,5.54,0,0,0.51,0,0,0.49,0,5.71,0,0,0,0,0,0
 84-94,0,0,1.49,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0.75,0,0
 96-106,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,1.73,0,0,0,0,0,1.33
108-118,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,1.48,0,1.12,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,2.59,0,0,0,0,2.07,0,0,0,0,0,0
