stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,235.53,4644.93,0,0,0,0,0,0,0,0,0,0,186.2,0,0,0,0
  5-6,246.43,3741.72,0,0,0,0,0,0,0,76.11,0,30.81,23.13,0,0,0,0
  7-9,5.71,11.19,4.74,0,5.98,28.57,0,0,0,227.04,7.74,94.72,0,12.73,0,0,0
 10-12,0,4.22,0,0,0,12.97,0,0,0,60.61,24.96,62.01,0,4.94,0,7,0
 14-21,0,0,0,1.33,0,1.84,0,0,0.85,11.14,0,0,0,0,1.42,0,1.17
 24-34,0,0,0,0,0,0.61,0,0,0,3.39,0,0,1.01,0,0,0,0.83
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22
 48-58,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
