stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,21.51,114.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,14.06,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2,2.86,0,0,0,0,0.82,2.15,0
 24-34,0,0,0.8,0.98,0,0,0.98,0,0,0,0,0,0,2.59,0,1.76,9.92,0,0.63,0,0,0,0,3.52,0.83
 36-46,0,0,0,0,0,0,9.13,0,0,0,2.7,0,0,0.81,0,0,24.02,0,0,0,0,0,0,4.2,5.27
 48-58,0,0,0,0,0,0,1.42,0.39,0,0,0.75,0,0,0.6,0,0,39.95,0,0.55,0,0,1.13,0,5.31,1.72
 60-70,0,0,0,0,0.81,0,1.55,0,0,0,0,0,0,1.5,0,0,31.11,1.31,0,0,0,0,0,3.97,0.82
 72-82,0,0,0,0,5.83,0,8.12,1.98,0,0,0.59,0,0,3.41,0,0,36.73,0,3.73,0.7,0,0,0,1.2,1.49
 84-94,0,0,0,0,0,0,0,0.74,0,0,0,0,0,3.27,0,0,7.28,0,0,0,0,0,0,0.65,0
 96-106,0,0,0,0,8.6,0.97,0.73,0,0,0,1.63,0,0.65,7.77,1.02,0,28.84,0,0,0,0,0,0,0,2.25
108-118,0,0,0,1.83,1.01,0,4.04,3.79,0.61,0.42,0,0.55,0,0,0,0,12.09,0,0,0,0,0,0,0,0.6
120,0,0,0,8.56,0,0,0,5.42,0,0,0,0,0,6.03,0,0,38.94,0,0,0,0,0,0,0,0
