stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,32.87,335.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.44,0,0,0,0,0,0,0
  5-6,48.78,1009.55,0,0,0,0,0,0,0,0,0,0,0,0,53.32,0,0,130.9,0,0,0,0,0,0,0
  7-9,8.92,31.16,17.14,0,0,45.77,0,0,0,0,10.97,0,0,0,349.2,24.4,219.06,4.34,0,0,0,0,0,0,0
 10-12,0,0,20.88,0,0,32.65,0,0,0,0,0,5.32,0,0,114.23,4.63,47.5,0,8.7,0,14.3,0,0,0,0
 14-21,0,0,2.39,3.93,1.88,1.02,0,0,0,0,0,0,4.3,4.64,28.8,0,1.03,0,0,6.04,0,5.72,6.34,0,0
 24-34,0,0,0,0,0,0.79,0,0,0,0,0,0,0.7,0,10.93,0,0,0,0,0,0.7,0.9,0,0,0.84
 36-46,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,7.28,0,0,12.57,0,0,3.76,0,0,0,0
 48-58,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0.92,1.06,0,0,0,0,0,0,0,1.6,0,0
 60-70,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,1.05,0,0
 72-82,0,0,0,0,0,0.54,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.66,0.94,0,0,0,0,3.96,0,6.71,0,0,1.01,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.81,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.16,2.36,0.48,0,0,0,0,8.73,0,0,0.91,0,0,0,0,0,0.41,0
120,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,2.84,0,0,0,0,0,0,0,0,0,0
