stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,122.87,1466.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.23,0,0,0,0,0,0,0,0,0,0
  5-6,69.6,1161.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,26.69,0,25.13,0,0,0,0,0,0,0,0,0,0
  7-9,33.44,14.04,0,28.54,0,0,0,75.58,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,533.53,3.38,0,0,146.21,0,9.25,13.24,0,0,0,0,0,0,0,0,0
 10-12,0,29.39,0,58.15,0,0,0,67.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.93,15.56,0,0,155.64,0,3.07,5.33,0,20.99,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,21.29,5.05,0,4.83,0,0,0,0,0,0,2.21,2.27,0,0,0,0,0,10,0,0,9.71,73.76,6.95,0.95,0,2.18,0,13.83,0,10,0.85,1.17,17.62,39.85,0,0,1.08,0
 24-34,0,0,0.66,1.33,13.38,1,0,17.53,0,1.24,0,5.44,0.82,0,1.45,3.75,4.56,1.45,7.97,4.48,0,20.91,0,0,5.84,131.74,1.2,4.99,2.34,0,0,27.52,0,0,2.31,0,1.3,21.26,0,0,7.5,0
 36-46,0,0,0,0,2.09,0,0,26.63,0,0,0.81,16.98,0,0,0,0,0.77,0,0,0,3.91,21.64,0,0,8.89,115.64,0.88,0,0.7,0,0,34.83,0,0,0,0,0,33.66,0,0,12.38,4.31
 48-58,0,0,0,0,12.11,0,0,15.81,0.38,0,0.56,15.41,0,0.93,0,0,0,0,0.51,0,0,27.35,0,1.13,3.54,53.12,0.57,1.45,2.32,0,0,28.23,0,0,0,0,0,8.33,0,0,1.02,3.21
 60-70,0,0,0,2.79,8.19,0,0,10.92,0,6.82,1.42,11.29,0,0,0.9,0.84,0,0.67,1.13,0,0,39.57,0,1.72,3.97,54.48,1.69,2.32,0,0.81,0,12.28,0,0,0,0,0,15.93,0,1.93,5.17,0
 72-82,0,0,0,0,3.39,11.29,0,25.13,1.01,2.89,4.84,14.71,0,0,0,2.7,2.71,1.38,0,0,0.64,54.15,0,2.09,5.14,30.73,0,6.5,3.11,0,0,10.43,0,0,0,0,0,3.06,0.53,0,9.86,0
 84-94,0,0,0.84,0,12.43,9.84,2.25,13.58,0,1.94,0,9.88,3.33,0,0,1.98,3.29,0,0,0,0,39.5,0,2.19,5.92,21.91,3.08,0.56,5.06,0,1.49,28.48,0,0,0.6,0,0,5.62,0,2,4.75,0
 96-106,0,0,2.02,1.03,11.99,4.82,0,22.13,0,0,7.39,11.35,0.97,0,1.57,6,0,0.66,9.07,0,0,34.93,1.13,0.56,2.11,28.93,0.91,4.44,0.68,0,0,35.94,0,0,0,0,0,0,1.22,0,5.96,8.86
108-118,0,0,0,0,15.81,3.7,1.88,17.52,4.99,2.43,0.8,7.48,4.03,0,0,3.67,1.32,0,0.56,0,0,40.93,2.9,0.46,1.64,27.3,0.52,1.79,3.96,0,0.76,24.56,0,0,0.85,0,0,8.32,6.05,2.48,11.79,3.2
120,0,0,0,0,48.54,22.72,0,11.44,0,0,0,47.06,3.02,0,0,0,1.25,2.11,3.87,0,0,51.79,0,0,1.51,14.54,0,4.32,0,0,0,14.96,0,0,1.97,0,0,0,0,10.65,22.33,0
