stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,4.56,0.85,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.28,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,18.98,0,0,0.76,0,13.99,0,10.31,0,0,0,0,0
 36-46,0,7.18,0,0,0.68,0,1.03,0,0,0,0,0,0,0,0,0,4.31,0,0,0,9.35,0,0,0,0,2.68,0,6.55,0,0,1.56,0,0
 48-58,0,4.58,0,0,8.25,0,0,0,0,0,0,1.6,0,0.41,0.51,0,7.71,0,0,0,26,1.36,0,1.03,0,11.04,1.07,5.18,0,0,1.86,0,0
 60-70,0.7,0,0,0,3.15,0,1.15,0,2.34,0,1.09,0.98,0,0,0.63,1.32,10.15,0,0,0,31.91,0,0,8.44,0,14.13,0,6.45,0,0,1.32,0,8.61
 72-82,0,0.81,0,0,24.24,6.42,0,1.59,5.99,3.77,1.28,7.6,0,0,0.69,4.13,26.54,0,1.08,0.69,56.76,0,3.28,3.46,0,12.12,0.51,7.21,0,0,0.5,0,0
 84-94,0.94,0,0.83,0.6,4.84,0,5.66,0,6.24,1.51,0,1.23,0.69,0,2.69,2.95,18.91,0.65,1.8,1.34,39.36,0,0,0,0,24.07,0,0,0,0,9.38,0,0
 96-106,0,0,4.89,0,10.16,0,1.4,0,4.59,5.18,0,2.19,0,0,0,6.67,24.51,0,1.05,0.71,30.37,0,1.3,0.65,0,15.54,0,0,0,0.69,1.41,1.43,0
108-118,0,0.55,2.07,0,5.83,0,0.9,0.44,1.07,7.78,0,3.26,1.03,0,0.47,6.41,35.16,0,0.76,0.73,39.17,0.45,0,1.75,0,18.53,2.35,6.89,0,0,0,1.1,5.57
120,0,4.47,0,0,2.65,0,3.14,0,8.73,10.15,0,2.35,5.18,0,0,8.35,23.52,0,17.89,0,129.4,0,0,15.85,2.03,24.94,2.05,0,1.19,0,2.71,2.54,0
