stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,vasculature,xanthophores
  3-4,53.76,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.89,0,0,8.75,0,0,0
 24-34,0,0,5.3,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,2.48,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,4.99,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,38.06,0.76,3.85,0,0,0,0,0,0,0,0
 72-82,0,0,31.29,0,5.58,0,1.5,1.42,0,0,0,0,0
 84-94,0,0,87.46,0,13.67,0,0.92,0,0,0,0.62,0,0
 96-106,0,0.57,45.14,2.87,6,3.25,17.24,1.84,0,0,0,0.56,0
108-118,0,0,27.01,0,19.05,0,1.78,0,0.63,0,0,0,0.68
120,0,0,1.48,0,14.79,0,0,0,1.12,0,0,0,0
