stage,epidermis,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,periderm
 14-21,0,0,0,0,0,0,0,0,0,0,0,8.07
 24-34,0,0,0,0,0,0,3.43,0.6,0,1.34,0,48.8
 36-46,0.65,0,1.54,0,0,0,0,0,0,3.51,0,79.9
 48-58,0,0,0,0,0,0,0,0,0,10.87,0.47,36.87
 60-70,0,0,0,0,0,0,0,0,0,1.52,0,45.82
 72-82,2.08,2.2,0,0,0.71,5.79,0,0,0,0,0,21.17
 84-94,1.26,0,0.56,0,0,1.32,0,1.43,0.91,2.12,0,64.38
 96-106,10.35,1.32,3.4,0,0,7.71,0,2.74,0,2.13,0,65.83
108-118,4.2,0.53,0,0.74,3.16,3.68,0,1.74,0.59,1.21,0,81.54
120,11.25,2.55,18.83,0,1.63,5.97,0,0,0,1.05,0,37.1
