stage,blastomeres,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,25.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.73,0,0,4.79,0,8.21,0,0,5.84,0,0
 10-12,0,0,0,0,11.83,0,3.6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.67,1.04
 36-46,0,0,0,0,0,0,1.79,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.22,1.71,0,0,0,0
 60-70,0,0,0,0,0,0,1.23,0,0,0,0,0
 72-82,0,3.12,6.88,0.83,0,1.12,1.47,0,0,0,0,0
 84-94,0,1.93,0,0,0,0,0,0,0,0,0,5.81
120,0,0,0,0,0,0,0,0,9.06,0,0,0
