stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.74,202.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21,0,0,0,18.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.71,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,4.79,0.96,4.98,0,0,0.96,0,0,0,0,0,0,6.66,0,0,0,64.83,0.87,0,0.93,1.79,0,0,6.47,0,8.28,19.57,0,0,0,0,0
 24-34,0,0,0,0,1.43,1.11,7.31,0,6.76,0,0,0,0,0.7,0,9.32,15.47,1.24,0,0.83,105.87,0,1.26,2.33,0,0,0,0,0,1,36.51,0,0,2.41,0,0
 36-46,0,0,0,0,0.66,0,22.19,0,7.47,1.3,0,0,0,0,0,0,8.08,0,0,3.37,78.14,0,0,0.8,0,0.97,1.07,0,0,0,18.83,0,0,5.28,0,1.57
 48-58,0,0,0,0,0.41,0,34.03,0,10.77,3.05,0.67,0,0.37,0.39,0,0,13,0,0.77,3.04,91.72,5.81,0,0.44,0,0,4.38,0,0,0,22.82,0,0,1.01,0,0.83
 60-70,0,0,0,0,3.73,0,38.64,1.21,10.65,0,0,0,0,0,0,0,15.94,0,0,2.14,81.36,0,0,0,0,0,0,0,0,0,9.64,0,0,0,0,0
 72-82,0,0,0,0,1.87,8.11,21.67,0,10,0,0,0,0,0,0,0,9.18,0,0,0,47.92,0,2.23,0.61,0,0,0,0,0,0,1.29,0,0,0.62,0,0
 84-94,0,0,2.52,0,0,0,11.82,1.21,13.17,0,1,0,0,0,0,0,12.81,0,0,1.2,21.06,0,0,2.34,0,0,0.59,0,0.56,0,8.96,0,1.79,4.04,0,0
 96-106,0,0,1.08,0,4.82,0,13.11,0,8.72,1.79,0,0,0,0,0,0.76,20.78,0,0,0.71,22.55,0,1.2,1.38,0,0,3.5,0,0,0,0,0,0,0,0.68,9.46
108-118,0,0,0,0,1.48,0,10.64,0,13.1,0,0,2.74,0.43,0.95,0.51,0.87,17.85,0,3.36,1.29,33.94,0,0,1.15,0,0,2.1,0,0,0,6.17,0.52,0,1,0,0
120,0,0,0,0,1.38,0,2.89,0,5.21,0,0,0,0,0,0,0,13.52,0,0,7.97,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
